cycle,p1Fitness,p2Fitness,averageTotalFitness
1,142,150,213.0
2,126,116,201.0
3,116,114,192.0
4,110,110,184.5
5,102,106,178.5
6,134,98,181.5
7,104,96,178.5
8,114,98,177.0
9,104,112,174.0
10,130,108,177.0
11,104,110,174.0
12,90,110,171.0
13,98,88,169.5
14,110,96,169.5
15,104,100,168.0
16,88,96,166.5
17,84,80,163.5
18,72,82,160.5
19,88,76,159.0
20,70,84,156.0
21,68,98,153.0
22,74,88,151.5
23,68,78,150.0
24,68,82,147.0
25,68,72,145.5
26,66,68,144.0
27,64,76,142.5
28,64,66,139.5
29,72,64,139.5
30,66,68,138.0
31,66,78,136.5
32,66,66,135.0
33,66,76,133.5
34,86,80,133.5
35,82,80,133.5
36,76,74,133.5
37,80,80,132.0
38,78,80,132.0
39,78,80,132.0
40,80,94,132.0
41,80,82,130.5
42,78,80,130.5
43,78,84,130.5
44,78,86,130.5
45,92,74,130.5
46,76,68,130.5
47,66,64,129.0
48,66,66,129.0
49,70,60,127.5
50,84,64,127.5
51,78,86,127.5
52,64,86,127.5
53,64,76,126.0
54,78,68,126.0
55,64,70,126.0
56,72,64,126.0
57,70,62,124.5
58,54,62,124.5
59,54,82,123.0
60,54,60,123.0
61,64,58,123.0
62,54,66,121.5
63,62,62,121.5
64,78,62,121.5
65,64,64,121.5
66,64,70,120.0
67,58,62,120.0
68,62,64,120.0
69,56,70,118.5
70,56,70,118.5
71,52,54,118.5
72,48,62,117.0
73,60,58,117.0
74,60,54,117.0
75,58,56,115.5
76,52,56,115.5
77,50,48,115.5
78,50,46,114.0
79,56,50,114.0
80,40,50,114.0
81,54,42,112.5
82,52,42,112.5
83,48,46,112.5
84,42,60,111.0
85,46,48,111.0
86,46,56,111.0
87,44,50,109.5
88,44,54,109.5
89,48,48,109.5
90,50,48,108.0
91,44,50,108.0
92,42,52,108.0
93,44,44,106.5
94,40,50,106.5
95,40,42,106.5
96,38,54,105.0
97,38,46,105.0
98,42,48,105.0
99,42,52,105.0
100,42,52,103.5
101,44,42,103.5
102,52,48,103.5
103,56,48,103.5
104,48,50,103.5
105,52,48,102.0
106,52,50,102.0
107,48,52,102.0
108,46,50,102.0
109,46,48,102.0
110,42,48,100.5
111,42,52,100.5
112,46,54,100.5
113,52,44,100.5
114,46,46,100.5
115,50,48,99.0
116,48,46,99.0
117,44,64,99.0
118,46,44,99.0
119,50,44,99.0
120,48,44,99.0
121,56,44,99.0
122,44,44,97.5
123,48,48,97.5
124,56,52,97.5
125,42,56,97.5
126,48,42,97.5
127,38,40,97.5
128,38,42,96.0
129,38,38,96.0
130,40,38,96.0
131,38,40,96.0
132,38,40,96.0
133,38,40,94.5
134,38,46,94.5
135,38,38,94.5
136,40,38,94.5
137,38,42,94.5
138,46,38,94.5
139,38,40,93.0
140,42,38,93.0
141,38,38,93.0
142,38,44,93.0
143,38,38,93.0
144,36,40,91.5
145,50,50,91.5
146,40,48,91.5
147,40,44,91.5
148,40,38,91.5
149,34,38,91.5
150,34,34,91.5
151,38,34,90.0
152,40,40,90.0
153,40,36,90.0
154,40,42,90.0
155,40,38,90.0
156,38,38,90.0
157,34,44,90.0
158,34,40,88.5
159,38,38,88.5
160,42,38,88.5
161,36,38,88.5
162,36,36,88.5
163,52,40,88.5
164,46,50,88.5
165,62,46,88.5
166,50,42,88.5
167,42,44,88.5
168,42,42,88.5
169,40,44,87.0
170,40,40,87.0
171,38,42,87.0
172,44,40,87.0
173,36,42,87.0
174,36,42,87.0
175,36,36,87.0
176,48,36,87.0
177,36,42,87.0
178,40,36,85.5
179,44,40,85.5
180,46,38,85.5
181,46,44,85.5
182,42,46,85.5
183,52,48,85.5
184,56,46,85.5
185,44,58,85.5
186,44,46,85.5
187,44,50,85.5
188,42,58,85.5
189,42,48,85.5
190,44,46,85.5
191,50,46,85.5
192,46,56,85.5
193,48,46,84.0
194,46,44,84.0
195,56,52,84.0
196,44,52,84.0
197,44,46,84.0
198,44,44,84.0
199,48,52,84.0
200,48,54,84.0
201,48,46,84.0
202,50,52,84.0
203,50,68,84.0
204,52,46,84.0
205,44,50,84.0
206,44,42,84.0
207,42,40,84.0
208,40,46,84.0
209,46,64,84.0
210,42,60,84.0
211,42,36,84.0
212,42,54,82.5
213,38,46,82.5
214,34,42,82.5
215,40,34,82.5
216,34,34,82.5
217,34,34,82.5
218,34,36,82.5
219,34,34,82.5
220,34,34,82.5
221,34,38,82.5
222,48,36,82.5
223,36,36,82.5
224,36,40,81.0
225,36,50,81.0
226,42,42,81.0
227,36,38,81.0
228,30,36,81.0
229,36,42,81.0
230,36,46,81.0
231,42,34,81.0
232,34,52,81.0
233,34,38,81.0
234,42,46,81.0
235,42,32,81.0
236,38,36,81.0
237,34,42,79.5
238,32,34,79.5
239,36,32,79.5
240,32,32,79.5
241,32,30,79.5
242,30,30,79.5
243,30,30,79.5
244,34,36,79.5
245,32,34,79.5
246,28,32,79.5
247,28,28,79.5
248,32,36,78.0
249,40,34,78.0
250,48,38,78.0
251,38,36,78.0
252,32,38,78.0
253,44,40,78.0
254,36,44,78.0
255,36,38,78.0
256,34,36,78.0
257,32,40,78.0
258,38,32,78.0
259,32,34,78.0
260,32,32,78.0
261,32,32,78.0
262,36,32,78.0
263,32,36,78.0
264,42,32,76.5
265,42,32,76.5
266,38,56,76.5
267,38,46,76.5
268,44,38,76.5
269,44,40,76.5
270,36,40,76.5
271,30,36,76.5
272,36,36,76.5
273,30,36,76.5
274,26,34,76.5
275,34,28,76.5
276,30,36,76.5
277,30,32,76.5
278,28,28,76.5
