cycle,p1Fitness,p2Fitness,averageTotalFitness
1,140,138,210.0
2,130,140,202.5
3,128,146,198.0
4,116,124,192.0
5,116,110,189.0
6,112,120,184.5
7,106,106,181.5
8,88,106,175.5
9,88,80,169.5
10,74,78,163.5
11,70,78,159.0
12,68,72,154.5
13,68,72,150.0
14,80,84,147.0
15,94,80,147.0
16,76,78,145.5
17,74,84,142.5
18,64,78,141.0
19,72,70,138.0
20,68,78,136.5
21,68,68,135.0
22,80,62,135.0
23,60,64,132.0
24,60,50,130.5
25,50,58,129.0
26,48,56,126.0
27,56,50,124.5
28,52,46,123.0
29,48,42,121.5
30,44,50,118.5
31,50,48,117.0
32,48,48,117.0
33,42,42,114.0
34,40,38,112.5
35,60,40,112.5
36,46,48,111.0
37,54,52,111.0
38,54,50,109.5
39,50,50,108.0
40,56,50,108.0
41,50,44,106.5
42,60,42,106.5
43,36,38,105.0
44,34,44,103.5
45,40,48,103.5
46,38,38,102.0
47,38,48,100.5
48,38,54,100.5
49,46,60,99.0
50,46,48,99.0
51,46,42,99.0
52,48,38,97.5
53,60,46,97.5
54,44,64,97.5
55,44,42,96.0
56,42,42,96.0
57,62,42,96.0
58,44,50,96.0
59,50,54,94.5
60,46,46,94.5
61,46,46,94.5
62,40,40,93.0
63,38,42,93.0
64,36,38,93.0
65,36,36,91.5
66,38,36,91.5
67,36,38,90.0
68,36,54,90.0
69,38,40,90.0
70,38,38,88.5
71,38,38,88.5
72,38,42,88.5
73,42,36,88.5
74,40,40,87.0
75,46,36,87.0
76,34,38,87.0
77,32,42,85.5
78,32,44,85.5
79,32,36,85.5
80,32,32,84.0
81,32,32,84.0
82,38,32,84.0
83,32,32,84.0
84,34,32,82.5
85,36,36,82.5
86,32,36,82.5
87,32,32,82.5
88,30,32,81.0
89,34,30,81.0
90,32,32,81.0
91,30,54,81.0
92,30,46,79.5
93,30,30,79.5
94,30,34,79.5
95,30,34,79.5
96,40,32,78.0
97,32,38,78.0
98,32,40,78.0
99,32,42,78.0
100,32,38,78.0
101,32,40,76.5
102,38,28,76.5
103,28,36,76.5
104,28,34,76.5
105,28,34,76.5
106,28,28,75.0
107,32,28,75.0
108,42,38,75.0
109,42,38,75.0
110,38,30,75.0
111,30,40,75.0
112,30,32,75.0
113,30,30,73.5
114,38,34,73.5
115,34,34,73.5
116,30,34,73.5
117,34,36,73.5
118,32,34,73.5
119,32,38,73.5
120,30,32,72.0
121,28,30,72.0
122,26,28,72.0
123,26,28,72.0
124,30,28,72.0
125,38,28,72.0
126,28,30,70.5
127,26,28,70.5
128,30,26,70.5
129,26,32,70.5
130,26,26,70.5
131,26,26,70.5
132,26,26,69.0
133,26,26,69.0
134,26,26,69.0
135,26,32,69.0
136,26,26,69.0
137,26,26,69.0
138,30,26,69.0
139,26,26,67.5
140,30,26,67.5
141,32,30,67.5
142,36,36,67.5
143,34,38,67.5
144,32,36,67.5
145,30,32,67.5
146,30,30,67.5
147,38,30,67.5
148,30,34,67.5
149,36,32,67.5
150,32,36,66.0
151,34,48,66.0
152,36,38,66.0
153,34,36,66.0
154,38,34,66.0
155,32,36,66.0
156,38,36,66.0
157,32,38,66.0
158,28,38,66.0
159,30,34,66.0
160,30,30,66.0
161,30,28,66.0
162,28,30,66.0
163,26,28,64.5
164,34,36,64.5
165,32,32,64.5
166,32,34,64.5
167,34,32,64.5
168,32,32,64.5
169,38,32,64.5
170,40,34,64.5
171,34,34,64.5
172,40,40,64.5
173,38,44,64.5
174,38,40,64.5
175,34,38,64.5
176,34,34,64.5
177,34,34,64.5
178,34,36,64.5
179,32,40,64.5
180,32,32,64.5
181,32,38,64.5
182,32,42,63.0
183,32,32,63.0
184,32,32,63.0
185,32,32,63.0
186,30,32,63.0
187,34,36,63.0
188,38,36,63.0
189,42,34,63.0
190,34,34,63.0
191,34,34,63.0
192,34,34,63.0
193,34,44,63.0
194,34,40,63.0
195,36,28,63.0
196,34,28,63.0
197,28,46,63.0
198,26,32,63.0
199,24,26,63.0
200,24,24,63.0
201,24,26,61.5
202,32,24,61.5
203,44,34,61.5
204,34,42,61.5
205,40,34,61.5
206,28,36,61.5
207,28,32,61.5
208,28,30,61.5
209,28,28,61.5
210,26,30,61.5
211,28,26,61.5
212,32,26,61.5
213,26,32,61.5
214,26,38,61.5
215,24,32,61.5
216,28,24,61.5
217,24,28,61.5
218,26,32,60.0
219,32,28,60.0
220,28,30,60.0
221,26,28,60.0
222,30,26,60.0
223,26,24,60.0
224,24,24,60.0
225,24,24,60.0
226,24,30,60.0
227,24,24,60.0
228,24,30,60.0
229,24,24,60.0
230,24,24,60.0
231,22,24,60.0
232,22,22,60.0
233,26,30,58.5
234,32,30,58.5
235,32,34,58.5
236,30,30,58.5
237,28,26,58.5
238,20,24,58.5
239,26,20,58.5
240,20,20,58.5
241,22,16,58.5
242,22,16,58.5
243,22,16,58.5
244,16,16,58.5
245,16,16,58.5
246,16,16,58.5
247,18,16,57.0
248,16,16,57.0
249,16,16,57.0
250,16,16,57.0
251,16,16,57.0
252,22,16,57.0
253,16,16,57.0
254,20,16,57.0
255,16,26,57.0
256,22,20,57.0
257,16,20,57.0
258,20,16,57.0
259,16,16,55.5
260,16,16,55.5
261,16,22,55.5
262,22,16,55.5
263,16,16,55.5
264,16,16,55.5
265,16,16,55.5
266,16,16,55.5
267,16,22,55.5
268,16,16,55.5
269,16,16,55.5
270,16,16,55.5
271,16,16,55.5
272,20,16,54.0
273,16,16,54.0
274,16,16,54.0
275,16,16,54.0
276,22,16,54.0
277,16,22,54.0
278,16,16,54.0
279,16,16,54.0
280,16,16,54.0
281,16,16,54.0
282,16,22,54.0
283,16,22,54.0
284,16,16,54.0
285,16,28,54.0
286,16,22,52.5
287,26,20,52.5
288,16,30,52.5
289,16,20,52.5
290,16,16,52.5
291,16,16,52.5
292,22,16,52.5
293,16,16,52.5
294,16,16,52.5
295,16,16,52.5
296,16,16,52.5
297,16,16,52.5
298,16,16,52.5
299,16,16,52.5
300,22,16,52.5
301,16,16,52.5
302,20,16,51.0
303,16,16,51.0
304,16,16,51.0
305,22,16,51.0
306,20,16,51.0
307,22,16,51.0
308,16,16,51.0
309,16,16,51.0
310,16,16,51.0
311,16,20,51.0
312,16,16,51.0
313,16,16,51.0
314,16,18,51.0
315,16,16,51.0
316,16,16,51.0
317,16,16,51.0
318,16,16,51.0
319,16,16,51.0
320,16,16,49.5
321,16,16,49.5
322,16,20,49.5
323,16,16,49.5
324,16,16,49.5
325,16,16,49.5
326,16,16,49.5
327,22,16,49.5
328,16,16,49.5
329,16,16,49.5
330,16,16,49.5
331,22,16,49.5
332,16,16,49.5
333,16,16,49.5
334,16,16,49.5
335,16,16,49.5
336,16,22,49.5
337,16,16,49.5
338,16,16,49.5
339,16,16,49.5
340,16,16,48.0
341,16,16,48.0
342,16,16,48.0
343,16,16,48.0
344,16,16,48.0
345,16,16,48.0
346,16,16,48.0
347,16,22,48.0
348,24,16,48.0
349,16,26,48.0
350,16,16,48.0
351,16,16,48.0
352,16,16,48.0
353,16,16,48.0
354,16,16,48.0
355,22,16,48.0
356,16,16,48.0
357,16,22,48.0
358,16,22,48.0
359,16,22,48.0
360,16,22,48.0
361,16,16,48.0
362,16,16,46.5
363,16,16,46.5
364,16,16,46.5
365,16,16,46.5
366,22,16,46.5
367,16,16,46.5
368,16,16,46.5
369,22,22,46.5
370,16,22,46.5
371,16,20,46.5
372,18,16,46.5
373,16,16,46.5
374,16,16,46.5
375,16,16,46.5
376,16,16,46.5
377,16,16,46.5
378,16,16,46.5
379,16,16,46.5
380,28,16,46.5
381,16,28,46.5
382,16,26,46.5
383,16,26,46.5
384,20,20,46.5
385,26,20,46.5
386,20,20,46.5
387,20,20,46.5
388,20,20,46.5
389,20,20,45.0
390,16,22,45.0
391,16,16,45.0
392,16,20,45.0
393,16,16,45.0
394,22,16,45.0
395,16,16,45.0
396,16,16,45.0
397,16,16,45.0
398,16,16,45.0
399,16,16,45.0
400,16,24,45.0
401,16,16,45.0
402,30,16,45.0
403,16,22,45.0
404,16,20,45.0
405,16,16,45.0
406,16,16,45.0
407,16,16,45.0
408,16,16,45.0
409,16,16,45.0
410,22,16,45.0
411,16,20,45.0
412,22,16,45.0
413,16,16,45.0
414,16,16,45.0
415,16,16,45.0
416,16,22,45.0
417,16,22,45.0
418,24,16,45.0
419,16,28,45.0
420,16,22,43.5
421,22,16,43.5
422,16,16,43.5
423,16,16,43.5
424,16,16,43.5
425,16,28,43.5
426,22,22,43.5
427,22,22,43.5
428,16,22,43.5
429,16,20,43.5
430,16,16,43.5
431,16,16,43.5
432,16,16,43.5
433,16,16,43.5
434,22,22,43.5
435,16,22,43.5
436,16,22,43.5
437,16,16,43.5
438,16,16,43.5
439,24,16,43.5
440,22,16,43.5
441,16,16,43.5
442,16,16,43.5
443,16,16,43.5
444,16,16,43.5
445,16,22,43.5
446,16,16,43.5
447,16,20,43.5
448,16,22,43.5
449,22,16,43.5
450,16,16,43.5
451,16,16,43.5
452,16,16,43.5
453,22,16,43.5
454,16,16,43.5
455,16,16,43.5
456,16,16,42.0
457,24,16,42.0
458,16,16,42.0
459,22,16,42.0
460,16,16,42.0
461,16,16,42.0
462,16,16,42.0
463,16,16,42.0
464,16,16,42.0
465,22,16,42.0
466,16,22,42.0
467,16,16,42.0
468,16,16,42.0
469,16,22,42.0
470,16,22,42.0
471,16,16,42.0
472,22,16,42.0
473,16,16,42.0
474,16,16,42.0
475,16,16,42.0
476,18,28,42.0
477,18,18,42.0
478,18,18,42.0
479,18,18,42.0
480,20,18,42.0
481,18,18,42.0
482,24,18,42.0
483,18,18,42.0
484,28,22,42.0
485,22,22,42.0
486,22,22,42.0
487,22,22,42.0
488,22,28,42.0
489,20,22,42.0
490,26,26,42.0
491,28,34,42.0
492,28,28,42.0
493,20,26,42.0
494,20,20,42.0
495,20,16,42.0
496,16,16,42.0
497,16,16,42.0
498,16,16,42.0
499,16,22,42.0
500,16,16,42.0
501,16,24,42.0
502,22,24,42.0
503,16,22,42.0
504,16,16,42.0
505,28,22,42.0
506,28,26,42.0
507,22,24,42.0
508,16,24,42.0
509,16,16,40.5
510,16,22,40.5
511,16,16,40.5
512,16,22,40.5
513,16,22,40.5
514,16,24,40.5
515,16,16,40.5
516,16,16,40.5
517,16,16,40.5
518,16,16,40.5
519,16,16,40.5
520,22,16,40.5
521,22,22,40.5
522,22,26,40.5
523,16,26,40.5
524,16,20,40.5
525,16,18,40.5
526,16,16,40.5
527,16,16,40.5
528,22,16,40.5
529,16,16,40.5
530,16,22,40.5
531,16,16,40.5
532,16,16,40.5
533,20,16,40.5
534,16,16,40.5
535,16,16,40.5
536,16,22,40.5
537,16,16,40.5
538,20,16,40.5
539,16,16,40.5
540,16,16,40.5
541,16,16,40.5
542,16,24,40.5
543,16,16,40.5
544,16,16,40.5
545,16,16,40.5
546,16,16,40.5
547,16,22,40.5
548,16,16,40.5
549,16,16,40.5
550,16,22,40.5
551,16,16,40.5
552,16,16,40.5
553,16,16,40.5
554,16,16,40.5
555,20,16,40.5
556,16,16,40.5
557,16,16,40.5
558,16,22,39.0
559,16,16,39.0
560,16,16,39.0
561,16,16,39.0
562,16,16,39.0
563,16,22,39.0
564,16,16,39.0
565,16,16,39.0
566,16,16,39.0
567,24,16,39.0
568,16,16,39.0
569,16,16,39.0
570,22,16,39.0
571,16,16,39.0
572,16,16,39.0
573,22,16,39.0
574,16,16,39.0
575,16,22,39.0
576,16,16,39.0
577,16,26,39.0
578,16,16,39.0
579,16,16,39.0
580,16,16,39.0
581,16,16,39.0
582,16,16,39.0
583,16,16,39.0
584,16,16,39.0
585,22,16,39.0
586,24,16,39.0
587,16,16,39.0
588,22,16,39.0
589,16,18,39.0
590,22,22,39.0
591,24,18,39.0
592,24,18,39.0
593,18,18,39.0
594,18,18,39.0
595,14,18,39.0
596,14,14,39.0
597,20,14,39.0
598,20,14,39.0
599,14,14,39.0
600,18,14,39.0
601,22,14,39.0
602,14,14,39.0
603,14,14,39.0
604,14,14,39.0
605,14,14,39.0
606,18,14,39.0
607,20,14,39.0
608,22,14,39.0
609,14,14,39.0
610,22,18,39.0
611,14,18,39.0
612,14,14,39.0
613,14,14,39.0
614,14,22,39.0
615,14,14,39.0
616,20,14,39.0
617,14,22,39.0
618,20,22,39.0
619,18,20,39.0
620,18,18,39.0
621,24,24,39.0
622,22,24,39.0
623,22,22,39.0
624,30,22,39.0
625,22,20,39.0
626,22,20,39.0
627,16,20,37.5
628,16,22,37.5
629,16,16,37.5
630,18,28,37.5
631,18,24,37.5
632,18,18,37.5
633,24,18,37.5
634,18,18,37.5
635,14,16,37.5
636,14,14,37.5
637,14,14,37.5
638,14,14,37.5
639,20,14,37.5
640,14,14,37.5
641,28,14,37.5
642,14,14,37.5
643,14,14,37.5
644,14,20,37.5
645,14,20,37.5
646,14,14,37.5
647,22,14,37.5
648,14,20,37.5
649,14,14,37.5
650,14,14,37.5
651,14,20,37.5
652,14,14,37.5
653,14,18,37.5
654,14,14,37.5
655,14,18,37.5
656,14,14,37.5
657,22,14,37.5
658,14,14,37.5
659,14,14,37.5
660,14,20,37.5
661,20,14,37.5
662,14,14,37.5
663,14,14,37.5
664,20,14,37.5
665,14,14,37.5
666,14,14,37.5
667,20,14,37.5
668,14,14,37.5
669,14,14,37.5
670,14,14,37.5
671,14,14,37.5
672,14,16,37.5
673,14,14,37.5
674,20,14,37.5
675,14,18,37.5
676,14,14,37.5
677,14,20,37.5
678,18,14,37.5
679,20,14,37.5
680,20,14,37.5
681,14,14,37.5
682,14,20,37.5
683,14,14,37.5
684,20,14,37.5
685,14,20,37.5
686,14,14,37.5
687,14,20,37.5
688,14,14,37.5
689,18,18,37.5
690,20,18,37.5
691,18,18,37.5
692,18,18,37.5
693,16,18,37.5
694,20,18,37.5
695,16,18,37.5
696,16,16,37.5
697,22,18,36.0
698,18,18,36.0
699,18,18,36.0
700,18,18,36.0
701,18,18,36.0
702,16,24,36.0
703,18,20,36.0
704,24,18,36.0
705,22,18,36.0
706,18,18,36.0
707,18,18,36.0
708,18,18,36.0
709,18,18,36.0
710,18,18,36.0
711,24,18,36.0
712,18,18,36.0
713,24,24,36.0
714,30,30,36.0
715,30,40,36.0
716,44,40,36.0
717,46,38,36.0
718,38,42,36.0
719,42,44,36.0
720,38,40,37.5
721,36,40,37.5
722,36,36,37.5
723,34,36,37.5
724,32,36,37.5
725,32,32,37.5
726,34,32,37.5
727,32,32,37.5
728,32,30,37.5
729,30,30,37.5
730,34,30,37.5
731,34,32,37.5
732,32,38,37.5
733,30,36,37.5
734,30,28,37.5
735,26,26,37.5
736,32,26,37.5
737,36,30,37.5
738,28,30,37.5
739,28,34,37.5
740,30,28,37.5
741,26,28,37.5
742,26,22,37.5
743,22,22,37.5
744,22,26,37.5
745,16,32,37.5
746,22,22,37.5
747,16,22,37.5
748,16,16,37.5
749,18,24,37.5
750,18,24,37.5
751,18,20,37.5
752,24,18,37.5
753,22,36,37.5
754,22,24,37.5
755,22,22,37.5
756,22,22,37.5
757,22,22,37.5
758,22,22,37.5
759,28,26,37.5
760,30,26,37.5
761,26,28,37.5
762,26,34,37.5
763,32,26,37.5
764,26,28,37.5
765,28,24,37.5
766,34,32,37.5
767,26,28,37.5
768,32,24,37.5
769,28,24,37.5
770,24,28,37.5
771,26,24,37.5
772,22,28,37.5
773,22,24,37.5
774,22,24,37.5
775,28,22,37.5
776,26,22,37.5
777,22,22,37.5
778,22,24,37.5
779,18,20,37.5
780,18,22,37.5
781,18,16,37.5
782,18,18,37.5
783,18,18,37.5
784,24,24,37.5
785,24,26,37.5
786,24,24,37.5
787,34,24,37.5
788,24,26,37.5
789,16,24,37.5
790,16,24,37.5
791,14,22,37.5
792,16,14,37.5
793,22,14,37.5
794,18,16,37.5
795,28,16,37.5
796,16,24,37.5
797,14,16,36.0
798,14,20,36.0
799,14,26,36.0
800,14,14,36.0
801,14,20,36.0
802,22,14,36.0
803,20,16,36.0
804,22,16,36.0
805,16,16,36.0
806,12,16,36.0
807,18,12,36.0
808,12,12,36.0
809,12,16,36.0
810,12,12,36.0
811,12,18,36.0
812,12,12,36.0
813,22,12,36.0
814,12,12,36.0
815,12,18,36.0
816,18,12,36.0
817,12,12,36.0
818,12,12,36.0
819,12,22,36.0
820,12,12,36.0
821,12,12,36.0
822,12,12,36.0
823,12,12,36.0
824,12,12,36.0
825,16,12,36.0
826,12,12,36.0
827,12,12,36.0
828,12,12,36.0
829,18,12,36.0
830,12,12,36.0
831,18,12,36.0
832,14,12,36.0
833,12,12,36.0
834,12,12,36.0
835,12,12,36.0
836,20,12,36.0
837,14,12,36.0
838,12,16,36.0
839,12,20,36.0
840,12,12,36.0
841,18,12,36.0
842,12,12,36.0
843,12,12,36.0
844,12,18,36.0
845,22,12,36.0
846,12,12,36.0
847,18,12,36.0
848,18,18,36.0
849,18,22,36.0
850,24,18,36.0
851,18,24,36.0
852,24,34,36.0
853,24,32,36.0
854,22,24,36.0
855,22,24,36.0
856,22,24,36.0
857,22,24,36.0
858,22,26,36.0
859,22,22,36.0
860,24,30,36.0
861,20,24,36.0
862,24,26,36.0
863,26,24,36.0
864,24,24,36.0
865,30,20,36.0
866,28,30,36.0
867,28,28,36.0
868,26,28,36.0
869,26,28,36.0
870,26,26,36.0
871,26,26,36.0
872,26,26,36.0
873,26,24,36.0
874,24,28,36.0
875,34,36,36.0
876,36,42,36.0
877,38,36,36.0
878,44,36,36.0
879,36,42,36.0
880,36,34,36.0
881,30,32,36.0
882,30,36,36.0
883,28,30,36.0
884,28,30,36.0
885,34,32,36.0
886,40,32,36.0
887,30,34,36.0
888,34,28,36.0
889,32,26,36.0
890,26,26,36.0
891,26,26,36.0
892,28,26,36.0
893,32,46,36.0
894,32,36,36.0
895,42,32,36.0
896,32,36,36.0
897,32,30,36.0
898,28,34,36.0
899,28,26,36.0
900,32,30,36.0
901,28,36,36.0
902,30,38,36.0
903,28,30,36.0
904,28,30,36.0
905,30,30,36.0
906,26,32,36.0
907,26,28,36.0
908,32,26,36.0
909,28,32,36.0
910,30,28,36.0
911,28,28,36.0
912,26,30,36.0
913,26,26,36.0
914,30,26,36.0
915,26,28,36.0
916,26,30,36.0
917,26,30,36.0
918,38,32,36.0
919,32,34,36.0
920,32,40,36.0
921,32,34,36.0
922,34,32,36.0
923,34,40,36.0
924,34,54,36.0
925,34,42,36.0
926,44,40,36.0
927,40,40,36.0
928,32,40,36.0
929,32,38,36.0
930,32,42,36.0
931,36,36,36.0
932,34,30,36.0
933,28,28,36.0
934,28,24,36.0
935,24,26,36.0
936,24,24,36.0
937,24,24,36.0
938,24,30,36.0
939,26,28,36.0
940,24,28,36.0
941,24,24,36.0
942,30,22,36.0
943,22,28,36.0
944,26,22,36.0
945,20,20,36.0
946,20,20,36.0
947,22,22,36.0
948,22,22,36.0
949,28,22,36.0
950,22,22,36.0
951,22,22,36.0
952,22,22,36.0
953,22,20,36.0
954,22,20,36.0
955,20,20,36.0
956,20,20,36.0
957,26,26,36.0
958,26,26,36.0
959,20,26,36.0
960,20,20,36.0
961,22,20,36.0
962,20,20,36.0
963,20,20,36.0
964,20,24,36.0
965,22,26,36.0
966,22,20,36.0
967,20,24,36.0
968,20,20,36.0
969,20,20,36.0
970,20,22,36.0
971,20,20,36.0
972,20,20,36.0
973,22,20,36.0
974,26,20,36.0
975,20,20,36.0
976,22,22,36.0
977,22,28,36.0
978,20,22,36.0
979,30,20,36.0
980,26,26,36.0
981,26,24,36.0
982,24,24,36.0
983,24,24,36.0
984,24,26,36.0
985,24,24,36.0
986,24,28,36.0
987,24,30,36.0
988,26,24,36.0
989,30,28,36.0
990,28,28,36.0
991,28,26,36.0
992,26,24,36.0
993,24,24,36.0
994,24,26,36.0
995,24,26,36.0
996,28,30,36.0
997,34,28,36.0
998,28,30,36.0
999,28,26,36.0
1000,32,32,36.0
1001,26,32,36.0
1002,36,44,36.0
1003,26,44,36.0
1004,26,34,36.0
1005,26,24,36.0
1006,28,28,36.0
1007,26,38,36.0
1008,26,30,36.0
1009,26,26,36.0
1010,26,26,36.0
1011,26,28,36.0
1012,26,28,36.0
1013,26,24,36.0
