cycle,p1Fitness,p2Fitness,averageTotalFitness
1,146,148,219.0
2,114,150,195.0
3,108,102,183.0
4,98,110,174.0
5,98,126,168.0
6,98,98,165.0
7,98,98,162.0
8,96,98,160.5
9,92,96,157.5
10,92,104,156.0
11,92,96,153.0
12,90,96,151.5
13,90,86,150.0
14,80,92,148.5
15,74,88,145.5
16,80,78,144.0
17,78,78,142.5
18,82,78,141.0
19,78,78,139.5
20,78,86,139.5
21,78,106,138.0
22,108,90,139.5
23,86,100,138.0
24,80,78,138.0
25,78,82,136.5
26,76,82,136.5
27,76,72,135.0
28,72,70,133.5
29,66,66,133.5
30,64,74,132.0
31,64,64,130.5
32,74,64,130.5
33,60,64,129.0
34,66,62,127.5
35,62,66,126.0
36,58,62,126.0
37,68,58,124.5
38,58,74,124.5
39,58,68,123.0
40,58,60,121.5
41,56,68,121.5
42,64,56,120.0
43,56,64,120.0
44,56,70,118.5
45,60,60,118.5
46,68,60,117.0
47,60,64,117.0
48,60,62,117.0
49,76,68,117.0
50,68,66,115.5
51,58,70,115.5
52,62,62,115.5
53,66,62,115.5
54,62,62,114.0
55,70,66,114.0
56,72,66,114.0
57,80,66,114.0
58,72,70,114.0
59,76,70,114.0
60,74,70,114.0
61,66,70,114.0
62,66,68,114.0
63,66,66,112.5
64,88,68,114.0
65,62,100,112.5
66,72,86,112.5
67,90,68,114.0
68,72,70,114.0
69,66,72,112.5
70,66,66,112.5
71,70,66,112.5
72,70,68,112.5
73,68,60,112.5
74,60,62,112.5
75,60,76,112.5
76,64,72,111.0
77,66,72,111.0
78,62,62,111.0
79,64,62,111.0
80,66,60,111.0
81,64,82,111.0
82,60,60,111.0
83,62,62,109.5
84,62,88,109.5
85,64,72,109.5
86,62,66,109.5
87,68,66,109.5
88,72,62,109.5
89,66,70,109.5
90,68,64,109.5
91,62,64,109.5
92,64,64,109.5
93,58,60,108.0
94,52,72,108.0
95,66,62,108.0
96,64,56,108.0
97,54,58,108.0
98,54,54,108.0
99,56,54,108.0
100,54,62,106.5
101,54,54,106.5
102,68,60,106.5
103,54,60,106.5
104,62,54,106.5
105,70,58,106.5
106,58,58,106.5
107,52,70,106.5
108,58,56,105.0
109,52,66,105.0
110,58,56,105.0
111,50,56,105.0
112,52,50,105.0
113,50,46,105.0
114,46,50,103.5
115,48,48,103.5
116,50,46,103.5
117,46,46,103.5
