cycle,p1Fitness,p2Fitness,averageTotalFitness
1,130,124,195.0
2,116,120,184.5
3,98,124,171.0
4,94,108,163.5
5,106,98,162.0
6,112,110,163.5
7,124,86,166.5
8,84,90,162.0
9,84,76,157.5
10,68,76,151.5
11,68,80,147.0
12,68,66,144.0
13,70,74,141.0
14,72,64,138.0
15,56,74,135.0
16,56,60,130.5
17,62,56,129.0
18,52,60,126.0
19,56,52,123.0
20,66,52,123.0
21,52,56,120.0
22,52,52,118.5
23,52,58,117.0
24,52,52,115.5
25,58,60,114.0
26,54,56,112.5
27,52,58,111.0
28,52,58,109.5
29,52,56,109.5
30,52,70,108.0
31,62,54,108.0
32,54,60,106.5
33,54,78,105.0
34,60,64,105.0
35,68,60,105.0
36,50,62,103.5
37,50,52,103.5
38,46,56,102.0
39,48,46,102.0
40,50,46,100.5
41,48,52,100.5
42,60,58,100.5
43,52,48,99.0
44,48,50,99.0
45,50,48,99.0
46,44,44,97.5
47,58,60,97.5
48,60,56,97.5
49,62,54,97.5
50,44,54,96.0
51,50,44,96.0
52,42,40,96.0
53,38,40,94.5
54,38,38,94.5
55,38,42,93.0
56,38,38,93.0
57,38,46,91.5
58,38,40,91.5
59,66,38,91.5
60,44,60,91.5
61,44,50,90.0
62,40,50,90.0
63,48,40,90.0
64,42,42,90.0
65,48,42,88.5
66,42,48,88.5
67,42,36,88.5
68,36,38,87.0
69,38,36,87.0
70,34,36,87.0
71,42,34,87.0
72,34,38,85.5
73,38,40,85.5
74,40,38,85.5
75,38,40,84.0
76,36,38,84.0
77,38,36,84.0
78,40,40,84.0
79,36,46,84.0
80,36,36,82.5
81,36,36,82.5
82,36,42,82.5
83,36,28,82.5
84,32,34,81.0
85,32,34,81.0
86,32,40,81.0
87,32,32,79.5
88,28,32,79.5
89,26,28,79.5
90,26,26,79.5
91,26,30,78.0
92,30,30,78.0
93,26,30,78.0
94,26,28,76.5
95,26,26,76.5
96,30,24,76.5
97,24,24,76.5
98,24,24,75.0
99,24,24,75.0
100,24,24,75.0
101,24,24,75.0
102,24,30,73.5
103,24,24,73.5
104,24,24,73.5
105,32,24,73.5
106,24,24,72.0
107,24,24,72.0
108,24,24,72.0
109,34,24,72.0
110,24,30,72.0
111,24,24,70.5
112,28,24,70.5
113,24,24,70.5
114,24,24,70.5
115,24,24,70.5
116,30,24,69.0
117,30,24,69.0
118,30,32,69.0
119,30,30,69.0
120,30,32,69.0
121,30,30,69.0
122,24,30,69.0
123,24,24,67.5
124,24,24,67.5
125,30,26,67.5
126,24,32,67.5
127,24,26,67.5
128,24,26,67.5
129,24,24,66.0
130,24,28,66.0
131,24,24,66.0
132,28,28,66.0
133,28,24,66.0
134,24,24,66.0
135,24,28,66.0
136,24,24,64.5
137,24,24,64.5
138,24,28,64.5
139,24,24,64.5
140,30,24,64.5
141,26,24,64.5
142,24,24,64.5
143,36,24,64.5
144,24,24,63.0
145,24,24,63.0
146,24,24,63.0
147,24,24,63.0
148,24,24,63.0
149,24,24,63.0
150,24,24,63.0
151,24,24,63.0
152,24,24,61.5
153,28,24,61.5
154,24,24,61.5
155,24,24,61.5
156,24,24,61.5
157,24,24,61.5
158,24,24,61.5
159,24,36,61.5
160,24,32,61.5
161,30,28,61.5
162,28,32,60.0
163,34,28,60.0
164,32,28,60.0
165,28,28,60.0
166,28,30,60.0
167,28,28,60.0
168,28,28,60.0
169,30,36,60.0
170,30,28,60.0
171,30,28,60.0
172,32,34,60.0
173,28,32,60.0
174,30,28,60.0
175,32,34,60.0
176,32,32,60.0
177,32,40,60.0
178,30,34,58.5
179,32,32,58.5
180,32,32,58.5
181,34,30,58.5
182,36,30,58.5
183,38,34,58.5
184,30,30,58.5
185,24,30,58.5
186,24,24,58.5
187,26,24,58.5
188,24,26,58.5
189,36,26,58.5
190,26,26,58.5
191,26,26,58.5
192,26,26,58.5
193,26,26,58.5
194,26,32,58.5
195,32,26,58.5
196,30,32,57.0
197,34,42,57.0
198,34,38,57.0
199,34,36,57.0
200,32,40,57.0
201,36,32,57.0
202,26,32,57.0
203,26,26,57.0
204,26,34,57.0
205,26,32,57.0
206,32,26,57.0
207,28,28,57.0
208,26,26,57.0
209,28,26,57.0
210,30,28,57.0
211,30,30,57.0
212,32,30,57.0
213,28,30,57.0
214,28,28,57.0
215,28,26,57.0
216,26,26,57.0
217,26,26,57.0
218,32,26,57.0
219,26,26,55.5
220,26,26,55.5
221,26,32,55.5
222,26,40,55.5
223,26,26,55.5
224,26,28,55.5
225,26,30,55.5
226,30,26,55.5
227,26,26,55.5
228,26,28,55.5
229,34,26,55.5
230,26,26,55.5
231,26,28,55.5
232,26,26,55.5
233,28,30,55.5
234,28,30,55.5
