cycle,p1Fitness,p2Fitness,averageTotalFitness
1,144,130,216.0
2,130,120,205.5
3,120,118,196.5
4,102,104,186.0
5,100,102,178.5
6,84,96,169.5
7,92,82,165.0
8,82,96,159.0
9,80,80,154.5
10,66,80,150.0
11,72,64,145.5
12,64,64,141.0
13,62,80,138.0
14,88,70,136.5
15,70,70,135.0
16,70,78,133.5
17,68,70,130.5
18,66,94,129.0
19,60,66,127.5
20,74,66,126.0
21,64,68,124.5
22,64,72,123.0
23,80,78,123.0
24,74,66,123.0
25,66,68,121.5
26,64,64,121.5
27,70,64,120.0
28,66,62,120.0
29,66,60,118.5
30,62,62,118.5
31,58,62,117.0
32,70,62,117.0
33,60,62,115.5
34,62,72,115.5
35,60,60,114.0
36,60,60,114.0
37,62,58,112.5
38,52,62,112.5
39,50,56,111.0
40,60,54,111.0
41,50,58,109.5
42,50,56,108.0
43,50,58,108.0
44,50,60,106.5
45,54,52,106.5
46,56,58,106.5
47,52,58,105.0
48,52,58,105.0
49,64,58,105.0
50,64,62,105.0
51,62,58,103.5
52,58,54,103.5
53,58,58,103.5
54,60,74,103.5
55,60,66,103.5
56,60,68,103.5
57,60,62,102.0
58,58,58,102.0
59,68,72,102.0
60,64,68,102.0
61,60,64,102.0
62,72,74,102.0
63,58,70,102.0
64,52,74,102.0
65,70,52,102.0
66,56,52,100.5
67,54,64,100.5
68,58,58,100.5
69,58,54,100.5
70,58,56,100.5
71,58,62,100.5
72,54,54,99.0
73,52,52,99.0
74,50,52,99.0
75,50,60,99.0
76,50,52,99.0
77,50,50,97.5
78,44,50,97.5
79,58,46,97.5
80,46,44,97.5
81,44,44,97.5
82,42,44,96.0
83,42,46,96.0
84,42,42,96.0
85,44,42,94.5
86,52,42,94.5
87,54,44,94.5
88,42,46,94.5
89,44,38,94.5
90,44,38,94.5
91,42,38,93.0
92,40,38,93.0
93,38,38,93.0
94,50,38,93.0
95,42,38,91.5
96,40,38,91.5
97,44,44,91.5
98,38,44,91.5
99,44,42,91.5
100,40,44,90.0
101,42,42,90.0
102,44,44,90.0
103,40,42,90.0
104,40,46,90.0
105,38,42,88.5
106,38,40,88.5
107,42,38,88.5
108,38,38,88.5
109,38,38,88.5
110,38,40,87.0
111,42,44,87.0
112,42,42,87.0
113,52,48,87.0
114,48,42,87.0
115,44,44,87.0
116,38,42,87.0
117,40,32,87.0
118,36,32,85.5
119,32,32,85.5
120,32,32,85.5
121,46,40,85.5
122,44,36,85.5
123,42,40,85.5
124,42,42,85.5
125,50,52,84.0
126,50,50,84.0
127,50,50,84.0
128,48,50,84.0
129,46,48,84.0
130,44,46,84.0
131,50,44,84.0
132,44,50,84.0
133,38,48,84.0
134,40,36,84.0
135,36,40,84.0
136,40,34,82.5
137,38,34,82.5
138,30,38,82.5
139,30,30,82.5
140,30,36,82.5
141,30,34,82.5
142,32,30,81.0
143,30,36,81.0
144,34,34,81.0
145,34,36,81.0
146,34,32,81.0
147,32,32,81.0
148,30,30,79.5
149,30,32,79.5
150,30,36,79.5
151,32,32,79.5
152,32,38,79.5
153,32,32,79.5
154,32,32,79.5
155,30,36,78.0
156,30,32,78.0
157,36,30,78.0
158,38,32,78.0
159,32,34,78.0
160,36,32,78.0
161,34,38,78.0
162,34,38,78.0
163,34,40,78.0
164,34,34,76.5
165,38,34,76.5
166,32,26,76.5
167,26,26,76.5
168,26,26,76.5
169,26,40,76.5
170,26,26,76.5
171,26,26,75.0
172,28,26,75.0
173,28,26,75.0
174,26,32,75.0
175,32,26,75.0
176,28,26,75.0
177,26,26,75.0
178,26,28,75.0
179,38,26,73.5
180,26,28,73.5
181,26,26,73.5
182,28,26,73.5
183,26,26,73.5
184,28,26,73.5
185,26,26,73.5
186,30,28,73.5
187,26,32,72.0
188,26,26,72.0
189,26,28,72.0
190,28,26,72.0
191,26,28,72.0
192,26,26,72.0
193,26,26,72.0
194,26,26,72.0
195,22,26,72.0
196,22,22,70.5
197,22,22,70.5
198,22,22,70.5
199,22,22,70.5
200,22,22,70.5
201,22,22,70.5
202,22,22,70.5
203,22,22,70.5
204,28,22,69.0
205,28,22,69.0
206,22,28,69.0
207,22,22,69.0
208,22,22,69.0
209,22,22,69.0
210,22,22,69.0
211,26,22,69.0
212,28,22,69.0
213,22,26,67.5
214,22,22,67.5
215,22,22,67.5
216,22,22,67.5
217,28,22,67.5
218,22,22,67.5
219,22,22,67.5
220,22,22,67.5
221,22,28,67.5
222,22,22,67.5
223,22,22,66.0
224,22,22,66.0
225,22,22,66.0
226,22,22,66.0
227,22,28,66.0
228,22,22,66.0
229,22,22,66.0
230,22,22,66.0
231,22,22,66.0
232,22,22,66.0
233,28,22,64.5
234,22,22,64.5
235,32,22,64.5
236,26,26,64.5
237,28,36,64.5
238,28,24,64.5
239,24,26,64.5
240,32,22,64.5
241,28,34,64.5
242,26,30,64.5
243,22,26,64.5
244,22,22,64.5
245,18,32,64.5
246,24,18,63.0
247,18,22,63.0
248,12,22,63.0
249,12,12,63.0
250,12,12,63.0
251,12,12,63.0
252,18,12,63.0
253,12,18,63.0
254,18,12,63.0
255,12,12,61.5
256,14,12,61.5
257,18,20,61.5
258,18,12,61.5
259,12,12,61.5
260,22,12,61.5
261,12,18,61.5
262,12,12,61.5
263,12,20,61.5
264,12,12,61.5
265,18,12,60.0
266,12,12,60.0
267,16,12,60.0
268,12,12,60.0
269,12,12,60.0
270,18,12,60.0
271,12,12,60.0
272,12,12,60.0
273,18,12,60.0
274,12,12,60.0
275,12,12,58.5
276,18,12,58.5
277,12,12,58.5
278,12,12,58.5
279,12,18,58.5
280,20,12,58.5
281,12,18,58.5
282,16,12,58.5
283,12,12,58.5
284,12,18,58.5
285,12,12,58.5
286,12,12,57.0
287,20,12,57.0
288,12,12,57.0
289,18,12,57.0
290,18,18,57.0
291,18,18,57.0
292,18,18,57.0
293,18,18,57.0
294,18,26,57.0
295,22,14,57.0
296,14,18,57.0
297,14,14,57.0
298,18,14,57.0
299,14,14,55.5
300,20,14,55.5
301,14,14,55.5
302,14,14,55.5
303,14,14,55.5
304,14,18,55.5
305,14,14,55.5
306,14,14,55.5
307,14,14,55.5
308,14,18,55.5
309,20,14,55.5
310,14,14,55.5
311,14,20,55.5
312,14,14,55.5
313,14,14,54.0
314,20,20,54.0
315,24,20,54.0
316,20,22,54.0
317,20,22,54.0
318,20,20,54.0
319,14,20,54.0
320,14,20,54.0
321,14,14,54.0
322,18,14,54.0
323,14,14,54.0
324,14,14,54.0
325,14,14,54.0
326,14,20,54.0
327,14,14,54.0
328,20,14,54.0
329,14,14,52.5
330,14,14,52.5
331,14,14,52.5
332,14,14,52.5
333,14,14,52.5
334,14,14,52.5
335,14,14,52.5
336,14,14,52.5
337,14,14,52.5
338,14,14,52.5
339,14,14,52.5
340,14,14,52.5
341,14,14,52.5
342,14,14,52.5
343,14,14,52.5
344,14,14,52.5
345,14,14,51.0
346,14,14,51.0
347,20,20,51.0
348,20,22,51.0
349,20,20,51.0
350,20,20,51.0
351,20,18,51.0
352,24,18,51.0
353,18,18,51.0
354,18,26,51.0
355,18,20,51.0
356,18,24,51.0
357,18,18,51.0
358,18,24,51.0
359,18,18,51.0
360,18,18,51.0
361,18,20,51.0
362,18,18,51.0
363,24,20,51.0
364,18,24,51.0
365,18,18,51.0
366,18,20,51.0
367,18,18,49.5
368,38,18,49.5
369,18,24,49.5
370,20,18,49.5
371,34,18,49.5
372,22,22,49.5
373,22,22,49.5
374,26,18,49.5
375,18,18,49.5
376,18,34,49.5
377,22,26,49.5
378,18,30,49.5
379,18,24,49.5
380,16,18,49.5
381,24,16,49.5
382,16,28,49.5
383,18,20,49.5
384,18,14,49.5
385,14,14,49.5
386,14,14,49.5
387,14,20,49.5
388,14,14,49.5
389,14,14,49.5
390,26,14,49.5
391,14,14,49.5
392,14,14,49.5
393,20,14,49.5
394,14,14,48.0
395,14,14,48.0
396,14,14,48.0
397,14,14,48.0
398,14,14,48.0
399,14,14,48.0
400,14,14,48.0
401,14,16,48.0
402,14,20,48.0
403,20,14,48.0
404,14,14,48.0
405,14,14,48.0
406,26,14,48.0
407,14,18,48.0
408,14,14,48.0
409,14,14,48.0
410,14,14,48.0
411,14,14,48.0
412,20,14,48.0
413,14,20,48.0
414,14,14,48.0
415,14,14,48.0
416,24,14,48.0
417,14,18,48.0
418,14,14,46.5
419,14,14,46.5
420,14,14,46.5
421,14,14,46.5
422,14,14,46.5
423,18,14,46.5
424,14,18,46.5
425,14,14,46.5
426,14,20,46.5
427,14,24,46.5
428,14,18,46.5
429,14,14,46.5
430,14,14,46.5
431,14,14,46.5
432,18,14,46.5
433,14,14,46.5
434,14,14,46.5
435,14,14,46.5
436,14,14,46.5
437,14,18,46.5
438,20,14,46.5
439,14,14,46.5
440,18,14,46.5
441,14,14,46.5
442,20,14,46.5
443,18,20,46.5
444,18,18,45.0
445,24,20,45.0
446,20,20,45.0
447,20,20,45.0
448,20,20,45.0
449,20,26,45.0
450,20,20,45.0
451,20,18,45.0
452,18,24,45.0
453,18,18,45.0
454,20,24,45.0
455,18,22,45.0
456,20,18,45.0
457,18,22,45.0
458,18,22,45.0
459,18,20,45.0
460,18,22,45.0
461,26,18,45.0
462,18,26,45.0
463,20,18,45.0
464,18,24,45.0
465,22,24,45.0
466,18,22,45.0
467,18,18,45.0
468,18,20,45.0
469,18,18,45.0
470,18,18,45.0
471,18,18,45.0
472,18,20,45.0
473,28,20,45.0
474,20,18,45.0
475,24,18,45.0
476,18,18,45.0
477,14,18,45.0
478,14,24,45.0
479,14,14,45.0
480,20,16,45.0
481,14,22,45.0
482,24,22,45.0
483,16,26,45.0
484,16,18,45.0
485,18,16,43.5
486,18,16,43.5
487,16,16,43.5
488,22,16,43.5
489,16,22,43.5
490,16,18,43.5
491,22,18,43.5
492,18,18,43.5
493,18,18,43.5
494,18,18,43.5
495,16,22,43.5
496,18,16,43.5
497,16,16,43.5
498,18,16,43.5
499,16,16,43.5
500,16,22,43.5
501,16,16,43.5
502,16,28,43.5
503,16,16,43.5
504,16,16,43.5
505,16,18,43.5
506,16,16,43.5
507,20,16,43.5
508,16,22,43.5
509,16,16,43.5
510,16,16,43.5
511,16,16,43.5
512,16,18,43.5
513,16,16,43.5
514,26,16,43.5
515,20,24,43.5
516,18,24,43.5
517,18,24,43.5
518,18,16,43.5
519,16,16,43.5
520,22,16,43.5
521,16,16,43.5
522,16,16,43.5
523,16,16,43.5
524,16,22,43.5
525,22,20,43.5
526,20,26,43.5
527,20,30,42.0
528,20,20,42.0
529,20,20,42.0
530,22,16,42.0
531,16,26,42.0
532,16,16,42.0
533,16,22,42.0
534,16,22,42.0
535,20,16,42.0
536,22,22,42.0
537,28,22,42.0
538,22,22,42.0
539,22,22,42.0
540,22,22,42.0
541,22,22,42.0
542,22,22,42.0
543,22,22,42.0
544,22,22,42.0
545,22,22,42.0
546,26,22,42.0
547,16,22,42.0
548,16,16,42.0
549,16,16,42.0
550,16,16,42.0
551,16,22,42.0
552,16,16,42.0
553,22,16,42.0
554,16,16,42.0
555,16,16,42.0
556,16,16,42.0
557,16,16,42.0
558,16,16,42.0
559,16,16,42.0
560,22,16,42.0
561,16,16,42.0
562,16,16,42.0
563,16,16,42.0
564,16,16,42.0
565,22,16,42.0
566,16,16,42.0
567,16,16,42.0
568,16,16,42.0
569,26,16,42.0
570,20,20,42.0
571,20,20,42.0
572,20,34,42.0
573,20,36,42.0
574,20,20,42.0
575,20,26,42.0
576,30,22,42.0
577,24,24,42.0
578,24,26,42.0
579,26,24,42.0
580,26,34,42.0
581,26,22,42.0
582,30,22,42.0
583,22,24,42.0
584,26,22,42.0
585,22,28,42.0
586,26,24,42.0
587,28,22,42.0
588,22,30,42.0
589,20,34,42.0
590,18,26,42.0
591,16,20,42.0
592,16,16,42.0
593,16,16,42.0
594,16,16,40.5
595,16,26,40.5
596,16,22,40.5
597,16,16,40.5
598,16,26,40.5
599,16,16,40.5
600,16,16,40.5
601,16,16,40.5
602,16,22,40.5
603,16,16,40.5
604,22,22,40.5
605,16,30,40.5
606,16,22,40.5
607,16,16,40.5
608,16,22,40.5
609,16,16,40.5
610,16,16,40.5
611,16,16,40.5
