cycle,p1Fitness,p2Fitness,averageTotalFitness
1,152,146,228.0
2,112,146,198.0
3,102,104,183.0
4,102,96,175.5
5,90,100,166.5
6,88,106,160.5
7,84,78,156.0
8,78,88,151.5
9,70,70,145.5
10,68,70,141.0
11,80,68,139.5
12,68,72,136.5
13,66,68,133.5
14,78,72,132.0
15,78,84,130.5
16,88,74,130.5
17,72,76,129.0
18,70,72,127.5
19,68,66,126.0
20,64,70,124.5
21,76,80,124.5
22,74,90,124.5
23,72,82,123.0
24,80,78,123.0
25,72,78,123.0
26,72,74,121.5
27,78,76,121.5
28,84,70,121.5
29,66,84,121.5
30,66,70,120.0
31,66,60,120.0
32,60,64,118.5
33,60,64,117.0
34,52,50,117.0
35,44,50,115.5
36,54,42,114.0
37,36,54,112.5
38,36,40,111.0
39,36,38,109.5
40,38,36,108.0
41,38,36,106.5
42,40,36,105.0
43,42,36,105.0
44,36,36,103.5
45,40,36,102.0
46,36,48,102.0
47,36,36,100.5
48,36,46,99.0
49,40,36,99.0
50,40,38,97.5
51,36,44,97.5
52,36,38,96.0
53,34,48,94.5
54,34,38,94.5
55,34,34,93.0
56,50,34,93.0
57,30,38,93.0
58,50,32,91.5
59,36,34,91.5
60,48,42,91.5
61,48,42,90.0
62,36,44,90.0
63,42,52,90.0
64,44,54,90.0
65,38,48,88.5
66,32,48,88.5
67,32,34,87.0
68,26,32,87.0
69,30,24,85.5
70,24,24,85.5
71,24,30,85.5
72,24,26,84.0
73,24,24,84.0
74,22,28,82.5
75,28,22,82.5
76,22,22,81.0
77,22,22,81.0
78,22,22,81.0
79,22,26,79.5
80,22,32,79.5
81,20,22,78.0
82,18,22,78.0
83,18,12,76.5
84,12,12,76.5
85,12,12,76.5
86,12,12,75.0
87,12,12,75.0
88,12,22,73.5
89,18,18,73.5
90,22,18,73.5
91,18,16,72.0
92,12,16,72.0
93,12,12,70.5
94,18,12,70.5
95,12,12,70.5
96,12,18,69.0
97,16,12,69.0
98,12,18,69.0
99,12,12,67.5
100,12,12,67.5
