cycle,p1Fitness,p2Fitness,averageTotalFitness
1,132,144,198.0
2,104,116,177.0
3,98,100,166.5
4,92,86,159.0
5,94,84,156.0
6,92,86,153.0
7,86,90,148.5
8,86,84,147.0
9,84,84,144.0
10,84,98,142.5
11,80,88,139.5
12,82,82,138.0
13,78,76,136.5
14,78,76,135.0
15,76,72,133.5
16,72,72,132.0
17,80,86,132.0
18,80,108,130.5
19,74,90,129.0
20,82,76,129.0
21,76,78,129.0
22,72,76,127.5
23,64,90,126.0
24,76,70,126.0
25,70,84,124.5
26,66,72,124.5
27,72,88,123.0
28,70,70,123.0
29,88,72,123.0
30,72,88,123.0
31,66,84,121.5
32,64,66,120.0
33,66,68,120.0
34,66,66,120.0
35,66,66,118.5
36,66,66,118.5
37,82,70,118.5
38,66,72,118.5
39,64,88,117.0
40,66,70,117.0
41,58,66,115.5
42,64,70,115.5
43,64,68,115.5
44,52,74,114.0
45,62,54,114.0
46,58,54,112.5
47,54,52,112.5
48,52,48,111.0
49,62,52,111.0
50,58,52,111.0
51,52,64,109.5
52,56,54,109.5
53,68,68,109.5
54,60,66,109.5
55,52,74,108.0
56,52,62,108.0
57,52,56,108.0
58,52,52,106.5
59,50,66,106.5
60,52,58,106.5
61,52,50,105.0
62,50,50,105.0
63,52,60,105.0
64,52,48,103.5
65,48,50,103.5
66,48,48,103.5
67,54,58,102.0
68,54,50,102.0
69,56,56,102.0
70,52,58,102.0
71,54,56,102.0
72,50,54,100.5
73,56,66,100.5
74,60,60,100.5
75,52,60,100.5
76,64,58,100.5
77,52,56,100.5
78,50,68,99.0
79,48,74,99.0
80,70,62,99.0
81,64,64,99.0
82,60,64,99.0
83,68,82,99.0
84,74,74,99.0
85,78,74,99.0
86,74,70,99.0
87,70,66,99.0
88,72,76,100.5
89,64,80,99.0
90,64,68,99.0
91,62,78,99.0
92,62,74,99.0
93,58,66,99.0
94,56,56,99.0
95,54,58,99.0
96,68,54,99.0
97,54,54,99.0
98,52,60,99.0
99,52,62,99.0
100,46,50,97.5
101,54,48,97.5
102,48,48,97.5
103,46,50,97.5
104,56,42,97.5
105,48,48,97.5
106,64,48,97.5
107,52,56,97.5
108,46,52,96.0
109,44,46,96.0
110,58,50,96.0
111,64,60,96.0
112,68,54,96.0
113,58,54,96.0
114,46,54,96.0
115,46,54,96.0
116,58,48,96.0
117,48,50,96.0
118,54,56,94.5
119,42,52,94.5
120,50,42,94.5
121,42,54,94.5
122,44,62,94.5
123,48,52,94.5
124,44,44,94.5
125,42,40,93.0
126,38,36,93.0
127,44,42,93.0
128,46,52,93.0
129,46,42,93.0
130,42,42,93.0
131,50,42,93.0
132,42,46,91.5
133,46,44,91.5
134,40,42,91.5
135,38,40,91.5
136,38,40,91.5
137,44,50,91.5
138,46,50,91.5
139,46,46,90.0
140,46,68,90.0
141,50,54,90.0
142,48,50,90.0
143,48,48,90.0
144,50,44,90.0
145,48,58,90.0
146,52,46,90.0
147,46,46,90.0
148,54,44,90.0
149,48,48,90.0
150,48,48,90.0
151,48,48,88.5
152,46,54,88.5
153,46,48,88.5
154,56,54,88.5
155,50,58,88.5
156,50,54,88.5
157,58,50,88.5
158,46,54,88.5
159,46,46,88.5
160,44,54,88.5
161,40,44,88.5
162,48,42,88.5
163,42,40,88.5
164,38,40,87.0
165,38,38,87.0
166,38,38,87.0
167,38,38,87.0
168,38,36,87.0
169,36,50,87.0
170,36,52,87.0
171,36,38,87.0
172,46,36,85.5
173,36,44,85.5
174,36,36,85.5
175,40,42,85.5
176,40,46,85.5
177,38,40,85.5
178,50,44,85.5
179,40,44,85.5
180,46,40,85.5
181,38,40,85.5
182,38,42,84.0
183,56,38,84.0
184,38,40,84.0
185,36,36,84.0
186,40,36,84.0
187,46,36,84.0
188,40,38,84.0
189,38,40,84.0
190,38,44,84.0
191,42,44,84.0
192,42,46,84.0
193,48,36,84.0
194,44,46,84.0
195,54,48,84.0
196,48,48,84.0
197,48,46,82.5
198,44,46,82.5
199,50,44,82.5
200,54,44,82.5
201,48,46,82.5
202,46,46,82.5
203,46,46,82.5
204,46,46,82.5
205,44,52,82.5
206,48,50,82.5
207,48,48,82.5
208,48,52,82.5
209,50,52,82.5
210,46,58,82.5
211,46,48,82.5
