cycle,p1Fitness,p2Fitness,averageTotalFitness
318,32,32,70.5
319,32,32,70.5
320,44,32,70.5
321,32,38,70.5
322,32,38,70.5
323,32,32,70.5
324,32,32,70.5
325,32,32,70.5
326,32,32,70.5
327,36,36,70.5
328,32,44,70.5
329,38,34,70.5
330,34,34,70.5
331,42,32,70.5
332,40,36,70.5
333,38,36,70.5
334,36,40,69.0
335,36,36,69.0
336,36,36,69.0
337,40,40,69.0
338,40,40,69.0
339,44,50,69.0
340,50,46,69.0
341,46,46,69.0
342,48,46,69.0
343,46,50,69.0
344,46,52,69.0
345,46,52,69.0
346,52,50,69.0
347,60,60,69.0
348,56,60,69.0
349,50,62,69.0
350,50,62,69.0
351,48,54,69.0
352,48,48,69.0
353,52,48,69.0
354,46,48,69.0
355,58,46,70.5
356,56,56,70.5
357,52,72,70.5
358,58,48,70.5
359,44,54,70.5
360,50,46,70.5
361,44,70,70.5
362,56,52,70.5
363,46,50,70.5
364,46,46,70.5
365,58,46,70.5
366,50,62,70.5
367,54,58,70.5
368,52,52,70.5
369,58,52,70.5
370,52,54,70.5
371,50,54,70.5
372,46,50,70.5
373,50,44,70.5
374,44,46,70.5
375,52,52,70.5
376,50,52,70.5
377,54,62,70.5
378,54,54,70.5
379,58,56,70.5
380,54,60,70.5
381,54,56,70.5
382,54,64,70.5
383,70,48,70.5
384,62,60,70.5
385,56,62,70.5
386,68,68,70.5
387,58,66,70.5
388,60,58,70.5
389,50,54,70.5
390,52,58,70.5
391,52,52,70.5
392,48,52,70.5
393,56,60,70.5
394,52,50,70.5
395,48,50,70.5
396,48,44,70.5
397,54,74,70.5
398,56,56,70.5
399,54,54,70.5
400,50,52,70.5
401,48,56,70.5
402,46,56,70.5
403,60,56,70.5
404,56,56,70.5
405,68,54,70.5
406,54,60,70.5
407,56,62,70.5
408,64,58,70.5
409,58,58,70.5
410,54,58,70.5
411,54,54,70.5
412,60,60,70.5
413,64,62,70.5
414,60,64,72.0
415,56,64,72.0
416,56,68,72.0
417,50,60,72.0
418,50,50,72.0
419,50,50,72.0
420,50,50,72.0
421,54,50,72.0
422,48,56,72.0
423,48,50,72.0
424,48,62,72.0
425,48,62,72.0
426,48,56,72.0
427,48,48,72.0
428,58,48,72.0
429,48,50,72.0
430,48,48,72.0
431,54,50,72.0
432,58,64,72.0
433,62,62,72.0
434,62,60,72.0
435,60,60,72.0
436,68,58,72.0
437,52,60,72.0
438,52,48,72.0
439,54,50,72.0
440,50,58,72.0
441,56,66,72.0
442,56,56,72.0
443,68,56,72.0
444,56,64,72.0
445,56,62,72.0
446,56,56,72.0
447,62,56,72.0
448,62,58,72.0
449,56,58,72.0
450,66,56,72.0
451,58,64,72.0
452,56,56,72.0
453,66,54,72.0
454,54,68,72.0
455,54,72,72.0
456,64,56,72.0
457,56,58,72.0
458,56,58,72.0
459,68,58,72.0
460,68,56,72.0
461,56,88,72.0
462,52,54,72.0
463,56,52,72.0
464,52,62,72.0
465,72,64,72.0
466,54,62,72.0
467,70,64,72.0
468,62,60,72.0
469,60,68,73.5
470,66,82,73.5
471,68,74,73.5
472,64,78,73.5
473,74,72,73.5
474,66,72,73.5
475,58,70,73.5
476,54,60,73.5
477,54,56,73.5
478,54,68,73.5
479,58,64,73.5
480,60,64,73.5
481,48,62,73.5
482,46,48,73.5
483,46,46,73.5
484,58,54,73.5
485,60,46,73.5
486,52,80,73.5
487,58,70,73.5
488,60,58,73.5
489,58,56,73.5
490,60,48,73.5
491,48,60,73.5
492,54,64,73.5
493,48,58,73.5
494,48,52,73.5
495,48,54,73.5
496,58,62,73.5
497,56,68,73.5
498,56,62,73.5
499,52,60,73.5
500,60,70,73.5
501,54,58,73.5
502,52,52,73.5
503,52,52,73.5
504,58,60,73.5
505,58,52,73.5
506,58,62,73.5
507,56,70,73.5
508,64,56,73.5
509,68,74,73.5
510,64,94,73.5
511,62,72,73.5
512,62,56,73.5
513,56,58,73.5
514,58,56,73.5
515,50,56,73.5
516,50,50,73.5
517,56,56,73.5
518,54,60,73.5
519,54,62,73.5
520,54,60,73.5
521,64,56,73.5
522,54,64,73.5
523,62,58,73.5
524,58,72,73.5
525,78,68,73.5
526,68,70,73.5
527,72,64,73.5
528,64,62,75.0
529,60,50,75.0
530,50,54,75.0
531,58,54,75.0
532,66,54,75.0
533,50,62,75.0
534,54,52,75.0
535,52,50,75.0
536,68,48,75.0
537,42,56,75.0
538,42,52,75.0
539,42,42,75.0
540,42,42,75.0
541,40,40,75.0
542,40,40,75.0
543,46,40,75.0
544,38,46,73.5
545,44,42,73.5
546,42,42,73.5
547,50,48,73.5
548,40,62,73.5
549,50,48,73.5
550,42,48,73.5
551,40,44,73.5
552,40,44,73.5
553,40,42,73.5
554,40,40,73.5
555,34,34,73.5
556,34,40,73.5
557,34,42,73.5
558,46,44,73.5
559,44,44,73.5
560,60,60,73.5
561,56,78,73.5
562,56,54,73.5
563,56,54,73.5
564,52,52,73.5
565,52,56,73.5
566,48,48,73.5
567,46,52,73.5
568,46,56,73.5
569,54,48,73.5
570,40,48,73.5
571,40,40,73.5
572,40,42,73.5
573,40,48,73.5
574,40,60,73.5
575,44,50,73.5
576,42,42,73.5
577,40,44,73.5
578,40,44,73.5
