cycle,p1Fitness,p2Fitness,averageTotalFitness
318,48,40,52.5
319,38,48,52.5
320,38,40,52.5
321,36,36,52.5
322,42,36,52.5
323,36,40,52.5
324,44,36,52.5
325,32,40,52.5
326,32,40,52.5
327,32,32,52.5
328,36,34,52.5
329,34,34,52.5
330,34,44,52.5
331,36,36,52.5
332,52,36,52.5
333,34,42,52.5
334,36,34,52.5
335,34,36,52.5
336,34,34,52.5
337,34,40,52.5
338,34,34,52.5
339,36,34,52.5
340,38,34,52.5
341,36,38,52.5
342,52,36,52.5
343,36,40,52.5
344,40,36,52.5
345,36,38,52.5
346,36,36,52.5
347,36,36,52.5
348,36,36,52.5
349,36,42,52.5
350,36,36,52.5
351,42,38,52.5
352,40,38,52.5
353,36,40,52.5
354,38,34,52.5
355,50,40,52.5
356,40,46,52.5
357,44,42,52.5
358,40,42,52.5
359,42,34,52.5
360,36,44,52.5
361,32,36,52.5
362,32,34,52.5
363,32,36,52.5
364,30,34,52.5
365,32,32,52.5
366,30,32,52.5
367,38,40,52.5
368,34,38,52.5
369,34,46,52.5
370,34,38,52.5
371,34,34,52.5
372,34,30,52.5
373,30,30,52.5
374,30,30,52.5
375,34,28,52.5
376,32,28,52.5
377,28,28,52.5
378,28,26,52.5
379,30,26,52.5
380,26,26,52.5
381,30,26,52.5
382,26,26,52.5
383,34,26,52.5
384,26,28,52.5
385,30,28,52.5
386,28,30,52.5
387,28,34,52.5
388,28,30,52.5
389,34,28,52.5
390,34,30,52.5
391,32,30,52.5
392,28,34,52.5
393,28,40,52.5
394,28,28,52.5
395,28,28,52.5
396,28,28,52.5
397,30,28,52.5
398,32,28,52.5
399,28,28,52.5
400,28,34,52.5
401,28,28,51.0
402,30,28,51.0
403,30,32,51.0
404,28,30,51.0
405,32,34,51.0
406,32,46,51.0
407,32,38,51.0
408,32,32,51.0
409,34,32,51.0
410,32,32,51.0
411,32,38,51.0
412,32,32,51.0
413,32,32,51.0
414,30,32,51.0
415,30,36,51.0
416,30,30,51.0
417,34,30,51.0
418,48,32,51.0
419,32,36,51.0
420,32,36,51.0
421,36,32,51.0
422,38,32,51.0
423,32,34,51.0
424,32,32,51.0
425,38,38,51.0
426,34,38,51.0
427,34,36,51.0
428,46,36,51.0
429,36,36,51.0
430,42,40,51.0
431,40,44,51.0
432,48,40,51.0
433,40,40,51.0
434,40,46,51.0
435,50,46,52.5
436,46,48,52.5
437,42,50,52.5
438,42,46,52.5
439,40,52,52.5
440,56,50,52.5
441,48,56,52.5
442,48,44,52.5
443,44,50,52.5
444,50,42,52.5
445,42,44,52.5
446,50,42,52.5
447,44,42,52.5
448,42,40,52.5
449,38,40,52.5
450,38,38,52.5
451,38,40,52.5
452,44,44,52.5
453,40,44,52.5
454,40,40,52.5
455,40,50,52.5
456,40,52,52.5
457,40,44,52.5
458,40,40,52.5
459,52,40,52.5
460,40,50,52.5
461,48,46,52.5
462,44,46,52.5
463,36,46,52.5
464,44,38,52.5
465,38,40,52.5
466,48,38,52.5
467,38,40,52.5
468,38,40,52.5
469,38,44,52.5
470,38,42,52.5
471,36,38,52.5
472,36,36,52.5
473,34,34,52.5
474,28,40,52.5
475,28,36,52.5
476,32,36,52.5
477,42,38,52.5
478,38,38,52.5
479,36,38,52.5
480,36,42,52.5
481,38,36,52.5
482,40,44,52.5
483,38,40,52.5
484,36,36,52.5
485,38,36,52.5
486,32,44,52.5
487,46,28,52.5
488,30,36,52.5
489,36,44,52.5
490,42,34,52.5
491,40,36,52.5
492,34,36,52.5
493,34,40,52.5
494,36,34,52.5
495,40,34,52.5
496,46,34,52.5
497,46,38,52.5
498,38,38,52.5
499,36,36,52.5
500,38,32,52.5
501,34,32,52.5
502,30,32,52.5
503,30,28,52.5
504,28,28,52.5
505,28,28,52.5
506,28,34,52.5
507,30,28,52.5
508,30,34,52.5
509,30,30,52.5
510,30,30,52.5
511,30,30,52.5
512,34,32,52.5
513,32,30,52.5
514,30,34,52.5
515,30,30,52.5
516,30,30,52.5
517,32,36,52.5
518,30,44,52.5
519,30,32,52.5
520,30,36,52.5
521,30,30,52.5
522,30,36,52.5
523,30,42,52.5
524,32,38,52.5
525,36,32,52.5
526,32,32,52.5
527,30,36,52.5
528,32,32,52.5
529,32,36,52.5
530,34,34,52.5
531,32,34,52.5
532,32,32,52.5
533,36,32,52.5
534,32,32,52.5
535,32,32,52.5
536,32,34,52.5
537,36,32,52.5
538,32,36,52.5
539,38,32,52.5
540,38,32,52.5
541,32,50,52.5
542,40,32,52.5
543,32,32,52.5
544,38,38,52.5
545,34,38,52.5
546,32,40,52.5
547,32,32,52.5
548,30,32,52.5
549,32,30,52.5
550,36,30,52.5
551,30,30,52.5
552,32,30,52.5
