cycle,p1Fitness,p2Fitness,averageTotalFitness
1,146,152,219.0
2,122,144,201.0
3,118,130,192.0
4,114,150,187.5
5,126,136,187.5
6,114,130,184.5
7,108,118,181.5
8,102,102,177.0
9,104,100,175.5
10,88,108,171.0
11,104,98,169.5
12,94,104,166.5
13,94,94,165.0
14,102,106,163.5
15,84,84,162.0
16,84,80,159.0
17,70,82,156.0
18,84,78,154.5
19,74,78,151.5
20,76,88,150.0
21,72,82,148.5
22,86,88,147.0
23,86,88,145.5
24,94,94,145.5
25,86,94,145.5
26,86,86,144.0
27,86,86,144.0
28,86,86,144.0
29,86,96,142.5
30,78,84,142.5
31,76,74,141.0
32,80,84,141.0
33,94,80,141.0
34,76,86,139.5
35,84,72,139.5
36,84,72,139.5
37,70,72,138.0
38,76,66,136.5
39,86,70,136.5
40,86,68,136.5
41,66,70,136.5
42,60,78,135.0
43,64,72,133.5
44,80,64,133.5
45,62,68,132.0
46,60,62,132.0
47,60,76,130.5
48,60,62,130.5
49,60,60,129.0
50,60,90,127.5
51,60,72,127.5
52,62,60,127.5
53,58,66,126.0
54,58,56,126.0
55,56,56,124.5
56,62,56,124.5
57,56,74,123.0
58,64,62,123.0
59,62,64,121.5
60,64,62,121.5
61,62,56,121.5
62,68,56,121.5
63,66,62,120.0
64,60,56,120.0
65,62,58,120.0
66,56,66,118.5
67,54,70,118.5
68,54,54,118.5
69,52,54,117.0
70,52,52,117.0
71,52,62,117.0
72,52,56,115.5
73,52,52,115.5
74,58,70,115.5
75,60,58,114.0
76,64,64,114.0
77,66,62,114.0
78,68,60,114.0
79,60,64,114.0
80,52,68,112.5
81,52,62,112.5
82,52,50,112.5
83,48,48,111.0
84,50,52,111.0
85,48,50,111.0
86,44,52,111.0
87,44,48,109.5
88,50,50,109.5
89,52,48,109.5
90,50,54,108.0
91,64,48,108.0
92,48,52,108.0
93,56,50,108.0
94,48,54,108.0
95,44,44,106.5
96,44,44,106.5
97,50,44,106.5
98,46,50,106.5
99,40,46,105.0
100,40,44,105.0
101,40,40,105.0
102,54,42,103.5
103,42,50,103.5
104,42,44,103.5
105,50,42,103.5
106,42,50,102.0
107,44,44,102.0
108,36,48,102.0
109,36,36,102.0
110,36,42,100.5
111,36,36,100.5
112,40,40,100.5
113,40,38,100.5
114,36,38,99.0
115,40,40,99.0
116,36,40,99.0
117,42,44,99.0
118,40,40,97.5
119,42,48,97.5
120,36,40,97.5
121,34,36,97.5
122,36,40,96.0
123,36,38,96.0
124,44,34,96.0
125,36,38,96.0
126,34,36,96.0
127,32,34,94.5
128,32,32,94.5
129,32,38,94.5
130,38,36,94.5
131,36,36,93.0
132,38,32,93.0
133,32,34,93.0
134,34,32,93.0
135,38,32,93.0
136,32,32,91.5
137,32,38,91.5
138,38,34,91.5
139,34,44,91.5
140,50,40,91.5
141,38,48,91.5
142,38,40,90.0
143,38,40,90.0
144,38,44,90.0
145,38,38,90.0
146,36,38,90.0
147,34,36,90.0
148,34,34,88.5
149,34,34,88.5
150,34,34,88.5
151,56,32,88.5
152,32,42,88.5
153,32,34,88.5
154,32,32,87.0
155,32,32,87.0
156,32,36,87.0
157,32,32,87.0
158,32,32,87.0
159,32,32,87.0
160,34,32,85.5
161,32,38,85.5
162,34,36,85.5
163,38,38,85.5
164,40,38,85.5
165,34,38,85.5
166,36,36,85.5
167,46,36,85.5
168,36,40,84.0
169,40,36,84.0
170,36,38,84.0
171,36,38,84.0
172,36,40,84.0
173,34,40,84.0
174,32,34,84.0
175,32,38,84.0
176,32,40,82.5
177,32,36,82.5
178,34,38,82.5
179,38,36,82.5
180,42,36,82.5
181,36,40,82.5
182,36,34,82.5
183,34,40,82.5
184,34,36,82.5
185,38,34,81.0
186,40,34,81.0
187,34,38,81.0
188,38,34,81.0
189,32,34,81.0
190,32,42,81.0
191,32,36,81.0
192,34,32,81.0
193,36,32,81.0
194,38,38,81.0
195,40,38,81.0
196,46,46,79.5
197,46,36,79.5
198,36,36,79.5
199,42,36,79.5
200,36,36,79.5
201,42,42,79.5
202,40,44,79.5
203,40,40,79.5
204,40,40,79.5
205,36,40,79.5
206,36,48,79.5
207,36,44,79.5
208,36,36,79.5
209,36,36,79.5
210,42,36,78.0
211,36,36,78.0
212,44,34,78.0
213,34,34,78.0
214,34,34,78.0
215,34,36,78.0
216,34,34,78.0
217,34,34,78.0
218,34,34,78.0
219,38,34,78.0
220,34,34,78.0
221,34,34,78.0
222,34,34,78.0
223,34,34,76.5
224,34,34,76.5
225,34,34,76.5
226,34,34,76.5
227,42,34,76.5
228,34,34,76.5
229,34,34,76.5
230,34,34,76.5
231,34,40,76.5
232,34,34,76.5
233,36,40,76.5
234,36,36,76.5
235,38,36,76.5
236,44,36,76.5
237,34,36,75.0
