cycle,p1Fitness,p2Fitness,averageTotalFitness
1,150,176,225.0
2,134,118,213.0
3,110,152,196.5
4,110,128,189.0
5,108,110,183.0
6,102,102,178.5
7,126,94,180.0
8,102,100,175.5
9,116,94,175.5
10,90,78,171.0
11,76,84,166.5
12,80,70,162.0
13,66,76,157.5
14,66,76,153.0
15,66,68,150.0
16,66,56,147.0
17,64,56,144.0
18,56,56,139.5
19,56,66,136.5
20,52,56,133.5
21,62,60,132.0
22,56,66,130.5
23,62,66,127.5
24,66,66,127.5
25,74,66,126.0
26,66,66,124.5
27,62,66,124.5
28,64,64,123.0
29,60,64,121.5
30,70,60,121.5
31,60,64,120.0
32,60,60,118.5
33,60,70,118.5
34,60,76,117.0
35,60,62,117.0
36,60,60,115.5
37,60,60,115.5
38,76,60,115.5
39,60,60,114.0
40,72,60,114.0
41,66,76,114.0
42,64,72,114.0
43,60,60,112.5
44,54,60,112.5
45,56,68,111.0
46,56,58,111.0
47,54,70,109.5
48,54,58,109.5
49,54,58,109.5
50,54,54,108.0
51,54,54,108.0
52,62,54,108.0
53,62,60,108.0
54,56,78,106.5
55,68,64,106.5
56,70,64,106.5
57,78,76,106.5
58,70,80,106.5
59,70,58,106.5
60,66,64,106.5
61,64,66,106.5
62,64,70,106.5
63,56,58,106.5
64,58,70,105.0
65,56,60,105.0
66,56,56,105.0
67,50,58,105.0
68,50,58,103.5
69,50,54,103.5
70,50,50,103.5
71,64,50,103.5
72,52,52,102.0
73,58,58,102.0
74,56,68,102.0
75,54,62,102.0
76,50,60,102.0
77,50,50,100.5
78,46,50,100.5
79,46,46,100.5
80,50,46,100.5
81,54,46,100.5
82,54,52,99.0
83,52,60,99.0
84,58,54,99.0
85,52,58,99.0
86,48,68,99.0
87,46,62,97.5
88,52,48,97.5
89,56,50,97.5
90,46,48,97.5
91,50,46,97.5
92,46,52,97.5
93,46,48,96.0
94,50,52,96.0
95,48,50,96.0
96,48,42,96.0
97,42,44,96.0
98,50,42,96.0
99,40,42,94.5
100,52,40,94.5
101,40,42,94.5
102,42,48,94.5
103,42,46,93.0
104,46,42,93.0
105,52,40,93.0
106,40,42,93.0
107,40,46,93.0
108,54,40,93.0
109,40,44,93.0
110,40,42,91.5
111,40,40,91.5
112,40,40,91.5
113,40,46,91.5
114,40,40,91.5
115,46,40,90.0
116,52,40,90.0
117,44,42,90.0
118,40,40,90.0
119,40,44,90.0
120,40,42,90.0
121,50,44,90.0
122,44,54,88.5
123,44,44,88.5
124,44,36,88.5
125,44,40,88.5
126,40,40,88.5
127,36,38,88.5
128,36,36,88.5
129,36,42,87.0
130,36,36,87.0
131,36,40,87.0
132,36,46,87.0
133,36,42,87.0
134,36,44,87.0
135,36,36,85.5
136,36,36,85.5
137,36,36,85.5
138,42,36,85.5
139,36,36,85.5
140,42,36,85.5
141,36,40,85.5
142,38,36,84.0
143,38,38,84.0
144,38,38,84.0
145,38,40,84.0
146,38,40,84.0
147,46,38,84.0
148,40,46,84.0
149,38,52,84.0
150,38,42,82.5
151,40,38,82.5
152,42,42,82.5
153,38,42,82.5
154,38,38,82.5
155,36,38,82.5
156,36,36,82.5
157,38,36,82.5
158,36,36,82.5
159,46,40,81.0
160,38,36,81.0
161,36,46,81.0
162,36,38,81.0
163,54,46,81.0
164,46,48,81.0
165,44,46,81.0
166,46,48,81.0
167,42,56,81.0
168,46,52,81.0
169,54,46,81.0
170,46,54,81.0
171,46,48,81.0
172,46,50,81.0
173,42,50,81.0
174,42,54,81.0
175,44,42,81.0
176,52,42,79.5
177,42,42,79.5
178,42,52,79.5
179,40,48,79.5
180,44,42,79.5
181,40,38,79.5
182,40,38,79.5
183,38,38,79.5
184,38,38,79.5
185,38,46,79.5
186,36,44,79.5
187,36,46,79.5
188,38,42,79.5
189,42,38,78.0
190,36,42,78.0
191,36,42,78.0
192,44,38,78.0
193,36,38,78.0
194,36,38,78.0
195,36,36,78.0
196,44,38,78.0
197,38,38,78.0
198,38,46,78.0
199,48,40,78.0
200,40,42,78.0
201,50,40,78.0
202,36,40,78.0
203,36,36,78.0
204,36,36,76.5
205,36,36,76.5
206,42,36,76.5
207,44,36,76.5
208,36,38,76.5
209,36,36,76.5
210,42,36,76.5
211,38,36,76.5
212,36,44,76.5
213,36,38,76.5
214,36,46,76.5
215,36,42,76.5
216,36,40,76.5
217,36,38,76.5
218,36,36,76.5
219,42,36,76.5
220,36,36,75.0
221,38,36,75.0
222,36,40,75.0
223,40,38,75.0
224,42,38,75.0
225,36,38,75.0
226,36,42,75.0
227,36,46,75.0
228,40,36,75.0
229,46,38,75.0
230,36,40,75.0
231,40,36,75.0
232,38,42,75.0
233,38,40,75.0
234,38,38,75.0
235,38,46,75.0
236,38,38,75.0
237,38,38,75.0
238,38,40,75.0
239,38,40,73.5
240,38,42,73.5
241,46,38,73.5
242,54,38,73.5
243,38,46,73.5
244,38,52,73.5
245,50,50,73.5
246,48,52,73.5
247,50,48,73.5
248,42,48,73.5
249,42,42,73.5
250,42,42,73.5
251,50,48,73.5
252,52,50,73.5
253,50,48,73.5
254,54,50,73.5
255,50,52,73.5
256,54,54,73.5
257,54,62,73.5
258,48,58,73.5
259,48,62,73.5
260,66,52,73.5
261,46,60,73.5
262,44,60,73.5
263,44,58,73.5
264,44,50,73.5
265,46,44,73.5
266,44,44,73.5
267,42,44,73.5
268,52,48,73.5
269,42,54,73.5
270,48,46,73.5
271,44,46,73.5
272,44,44,73.5
273,48,44,73.5
274,40,44,73.5
275,40,40,73.5
276,40,46,73.5
277,40,40,73.5
278,44,40,73.5
279,40,40,73.5
280,40,44,73.5
281,38,38,73.5
282,38,46,73.5
283,38,38,73.5
284,38,50,73.5
285,38,46,73.5
286,42,40,73.5
287,36,40,73.5
288,36,34,73.5
289,34,36,73.5
290,32,40,72.0
291,32,38,72.0
292,32,36,72.0
293,38,34,72.0
294,40,38,72.0
295,34,36,72.0
296,32,32,72.0
297,32,32,72.0
298,32,32,72.0
299,36,34,72.0
300,32,38,72.0
301,42,36,72.0
302,36,46,72.0
303,36,40,72.0
304,32,36,72.0
305,36,36,72.0
306,38,36,72.0
307,40,34,72.0
308,40,44,72.0
309,36,52,72.0
310,36,44,72.0
311,42,36,72.0
312,36,38,72.0
313,36,36,70.5
314,42,44,70.5
315,38,44,70.5
316,40,40,70.5
317,38,50,70.5
318,36,44,70.5
319,36,36,70.5
320,36,34,70.5
321,34,42,70.5
322,36,36,70.5
323,34,36,70.5
324,34,34,70.5
325,38,44,70.5
326,38,40,70.5
327,36,46,70.5
328,44,42,70.5
329,42,42,70.5
330,44,42,70.5
331,42,42,70.5
332,40,40,70.5
333,36,40,70.5
334,40,36,70.5
335,36,40,70.5
336,40,40,70.5
337,38,40,70.5
338,34,38,70.5
339,36,34,70.5
340,42,44,70.5
341,48,48,70.5
342,46,46,70.5
343,60,42,70.5
344,42,48,70.5
345,64,44,70.5
346,42,56,70.5
347,44,56,70.5
348,40,48,70.5
349,42,34,70.5
350,34,34,70.5
351,34,44,70.5
352,42,54,70.5
353,42,44,70.5
354,40,42,70.5
355,36,36,70.5
356,38,32,70.5
357,32,36,69.0
358,32,32,69.0
359,36,30,69.0
360,30,36,69.0
361,40,50,69.0
362,40,48,69.0
363,38,36,69.0
364,36,36,69.0
365,32,36,69.0
366,32,32,69.0
367,46,32,69.0
368,36,36,69.0
369,32,36,69.0
370,32,32,69.0
371,38,32,69.0
372,32,34,69.0
373,32,32,69.0
374,36,38,69.0
375,36,38,69.0
376,38,38,69.0
377,34,38,69.0
378,36,36,69.0
379,40,40,69.0
380,38,34,69.0
381,34,34,69.0
382,32,34,69.0
383,34,32,69.0
384,32,36,69.0
385,40,32,69.0
386,38,32,69.0
387,32,32,69.0
388,32,32,69.0
389,34,38,69.0
390,32,38,69.0
391,32,32,67.5
392,32,36,67.5
393,32,40,67.5
394,32,32,67.5
395,32,32,67.5
396,32,32,67.5
397,40,40,67.5
398,40,38,67.5
399,38,38,67.5
400,46,38,67.5
401,44,38,67.5
402,38,38,67.5
403,40,48,67.5
404,46,40,67.5
405,46,46,67.5
406,38,46,67.5
407,38,32,67.5
408,32,32,67.5
409,32,38,67.5
410,38,36,67.5
411,32,34,67.5
412,32,32,67.5
413,36,32,67.5
414,32,38,67.5
415,36,34,67.5
416,44,34,67.5
417,34,42,67.5
418,40,38,67.5
419,38,52,67.5
420,38,40,67.5
421,38,34,67.5
422,36,44,67.5
423,34,42,67.5
424,34,40,67.5
425,34,34,67.5
426,34,36,67.5
427,36,38,67.5
428,36,34,67.5
429,34,34,67.5
430,32,34,67.5
431,38,32,67.5
432,32,52,67.5
433,32,44,67.5
434,34,42,67.5
435,46,58,67.5
436,48,40,67.5
437,40,48,67.5
438,42,46,67.5
439,36,42,66.0
440,42,38,66.0
441,44,38,66.0
442,38,38,66.0
443,44,34,66.0
444,34,34,66.0
445,34,34,66.0
446,36,38,66.0
447,36,36,66.0
448,44,38,66.0
449,44,38,66.0
450,42,38,66.0
451,38,44,66.0
452,38,38,66.0
453,34,42,66.0
454,34,34,66.0
455,40,34,66.0
456,36,26,66.0
457,26,32,66.0
458,32,28,66.0
459,28,34,66.0
460,26,30,66.0
461,26,26,66.0
462,28,26,66.0
463,26,26,66.0
464,26,26,66.0
465,26,30,66.0
466,30,28,66.0
467,30,28,66.0
468,34,28,66.0
469,28,36,66.0
470,34,30,66.0
471,32,30,66.0
472,30,30,66.0
473,30,32,66.0
474,30,42,66.0
475,30,30,66.0
476,26,30,66.0
477,26,30,66.0
478,26,26,66.0
479,28,30,64.5
480,38,26,64.5
481,42,26,64.5
482,26,38,64.5
483,30,32,64.5
484,34,38,64.5
485,42,36,64.5
486,34,36,64.5
487,42,30,64.5
488,34,34,64.5
489,32,40,64.5
490,32,42,64.5
491,36,36,64.5
492,32,50,64.5
493,28,38,64.5
494,28,30,64.5
495,28,34,64.5
496,28,34,64.5
497,28,34,64.5
498,32,28,64.5
499,42,32,64.5
500,28,34,64.5
501,28,28,64.5
502,28,28,64.5
503,34,28,64.5
504,28,28,64.5
505,28,34,64.5
506,34,32,64.5
507,42,30,64.5
508,30,40,64.5
509,32,32,64.5
510,32,38,64.5
511,32,30,64.5
512,30,32,64.5
513,38,32,64.5
514,36,36,64.5
515,36,42,64.5
516,34,50,64.5
517,38,40,64.5
518,36,38,64.5
519,36,36,64.5
520,36,44,64.5
521,40,36,64.5
522,36,48,64.5
523,44,52,64.5
524,42,50,64.5
525,40,44,64.5
526,38,42,64.5
527,36,42,64.5
528,34,36,64.5
529,38,48,64.5
530,38,46,64.5
531,42,40,64.5
532,48,42,64.5
533,48,42,64.5
534,42,40,64.5
535,38,40,64.5
536,38,50,64.5
537,38,40,64.5
538,38,38,64.5
539,38,38,64.5
540,44,38,64.5
541,46,42,64.5
542,40,46,64.5
543,40,40,64.5
544,40,40,64.5
545,46,44,64.5
546,44,42,64.5
547,36,44,63.0
548,36,42,63.0
549,36,40,63.0
550,36,36,63.0
551,36,36,63.0
552,38,36,63.0
553,36,42,63.0
554,36,42,63.0
555,44,40,63.0
556,42,40,63.0
557,38,38,63.0
558,38,38,63.0
559,38,50,63.0
560,38,42,63.0
561,40,46,63.0
562,32,38,63.0
563,32,42,63.0
564,34,36,63.0
565,34,34,63.0
566,38,34,63.0
567,32,34,63.0
568,32,32,63.0
569,38,34,63.0
570,36,42,63.0
571,38,36,63.0
572,38,36,63.0
573,46,36,63.0
574,56,48,63.0
575,48,52,63.0
576,44,48,63.0
577,44,44,63.0
578,46,46,63.0
579,44,50,63.0
580,42,46,63.0
581,48,52,63.0
582,48,46,63.0
583,60,46,63.0
584,46,56,63.0
585,48,54,63.0
586,40,52,63.0
587,40,44,63.0
588,40,40,63.0
589,46,50,63.0
590,48,54,63.0
591,58,50,63.0
592,60,52,63.0
593,50,50,63.0
594,50,46,63.0
595,46,46,63.0
596,66,46,63.0
597,56,54,63.0
598,46,54,63.0
599,44,62,63.0
600,44,40,63.0
601,40,42,63.0
602,44,44,63.0
603,42,44,63.0
604,50,42,63.0
605,42,48,63.0
606,48,48,63.0
607,46,58,63.0
608,50,56,64.5
609,46,56,64.5
610,50,50,64.5
611,48,50,64.5
612,54,46,64.5
613,50,46,64.5
614,46,46,64.5
615,48,52,64.5
616,40,44,64.5
617,40,40,64.5
618,40,44,64.5
619,38,40,64.5
620,44,38,64.5
621,38,48,64.5
622,38,40,64.5
623,46,46,64.5
624,50,44,64.5
625,44,46,64.5
626,48,44,64.5
627,50,48,64.5
628,44,66,64.5
629,44,50,64.5
630,46,38,64.5
631,46,40,64.5
632,34,42,64.5
633,42,38,64.5
634,36,40,64.5
635,34,36,64.5
636,34,46,64.5
637,34,34,64.5
638,34,34,64.5
639,34,42,63.0
640,30,36,63.0
641,34,32,63.0
642,32,32,63.0
643,32,36,63.0
644,38,32,63.0
645,32,34,63.0
646,32,46,63.0
647,32,42,63.0
648,34,42,63.0
649,34,38,63.0
650,34,36,63.0
651,34,34,63.0
652,34,38,63.0
653,34,56,63.0
654,34,40,63.0
655,44,38,63.0
656,36,36,63.0
657,42,36,63.0
658,36,40,63.0
659,36,42,63.0
660,36,44,63.0
661,42,42,63.0
662,46,48,63.0
663,46,48,63.0
664,52,46,63.0
665,48,48,63.0
666,50,48,63.0
667,50,46,63.0
668,42,44,63.0
669,52,40,63.0
670,44,38,63.0
671,40,36,63.0
672,38,52,63.0
673,38,50,63.0
674,44,38,63.0
675,38,42,63.0
676,38,46,63.0
677,38,58,63.0
678,44,38,63.0
679,38,52,63.0
680,40,36,63.0
681,36,36,63.0
682,36,36,63.0
683,34,42,63.0
684,34,38,63.0
685,34,34,63.0
686,34,34,63.0
687,34,40,63.0
688,34,34,63.0
689,36,34,63.0
690,34,34,63.0
691,42,40,63.0
692,38,36,63.0
693,36,36,63.0
694,36,42,63.0
695,54,36,63.0
696,36,42,63.0
697,42,38,63.0
698,38,38,63.0
699,44,38,63.0
700,38,38,63.0
701,38,38,63.0
702,38,44,63.0
703,42,44,63.0
704,50,42,63.0
705,42,52,63.0
706,42,46,63.0
707,44,46,63.0
708,38,44,63.0
709,38,38,63.0
710,46,48,63.0
711,44,42,63.0
712,42,44,63.0
713,38,42,63.0
714,42,52,63.0
715,48,46,63.0
716,42,50,63.0
717,48,44,63.0
718,40,42,63.0
719,40,36,63.0
720,44,36,63.0
721,46,38,63.0
722,34,38,63.0
723,34,44,63.0
724,36,40,63.0
725,34,38,63.0
726,34,34,63.0
727,38,34,63.0
728,32,34,63.0
729,32,32,63.0
730,34,32,63.0
731,32,32,63.0
732,34,32,63.0
733,32,32,63.0
734,34,32,63.0
735,32,32,63.0
736,32,32,63.0
737,32,32,63.0
738,32,32,63.0
739,32,32,63.0
740,34,40,63.0
741,34,32,63.0
742,32,32,63.0
743,32,38,63.0
744,32,32,63.0
745,38,32,63.0
746,38,34,63.0
747,34,34,63.0
748,34,34,63.0
749,34,40,63.0
750,44,32,63.0
751,32,46,63.0
752,30,40,63.0
753,30,36,63.0
754,30,34,63.0
755,30,30,63.0
756,30,30,63.0
757,30,30,63.0
758,30,30,63.0
759,30,30,63.0
760,30,30,63.0
761,30,30,63.0
762,30,30,63.0
763,30,30,63.0
764,30,30,63.0
765,36,34,63.0
766,30,38,63.0
767,30,34,63.0
768,30,30,61.5
769,30,30,61.5
770,30,30,61.5
771,30,30,61.5
772,36,30,61.5
773,30,30,61.5
774,30,30,61.5
775,30,34,61.5
776,30,34,61.5
777,30,34,61.5
778,30,38,61.5
779,30,34,61.5
780,30,30,61.5
781,30,34,61.5
782,36,30,61.5
783,30,30,61.5
784,42,30,61.5
785,30,36,61.5
786,30,38,61.5
787,30,30,61.5
788,30,30,61.5
789,30,40,61.5
790,36,30,61.5
791,36,30,61.5
792,30,34,61.5
793,30,30,61.5
794,30,30,61.5
795,30,30,61.5
796,34,30,61.5
797,30,30,61.5
798,30,30,61.5
799,30,42,61.5
800,30,42,61.5
801,30,36,61.5
802,30,30,61.5
803,30,30,61.5
804,30,30,61.5
805,48,30,61.5
806,30,40,61.5
807,30,42,61.5
808,30,30,61.5
809,36,30,61.5
810,42,34,61.5
811,30,34,61.5
812,30,30,61.5
813,36,30,61.5
814,36,30,61.5
815,40,30,61.5
816,40,38,61.5
817,30,38,61.5
818,30,30,61.5
819,30,30,61.5
820,30,30,61.5
821,30,30,61.5
822,32,30,61.5
823,30,30,61.5
824,30,34,61.5
825,30,34,61.5
826,30,30,61.5
827,30,30,61.5
828,30,30,61.5
829,32,30,61.5
830,30,30,61.5
831,30,30,61.5
832,30,30,61.5
833,30,30,61.5
834,38,30,61.5
835,36,30,61.5
836,30,30,61.5
837,30,30,61.5
838,36,36,61.5
839,38,34,61.5
840,42,42,61.5
841,34,44,61.5
842,36,40,61.5
843,40,36,61.5
844,36,36,61.5
845,40,36,61.5
846,36,36,61.5
847,36,36,61.5
848,34,32,61.5
849,30,32,61.5
850,36,30,61.5
851,36,32,61.5
852,34,30,61.5
853,36,30,61.5
854,30,40,61.5
855,30,30,61.5
856,30,36,61.5
857,32,30,61.5
858,34,30,60.0
859,30,30,60.0
860,34,30,60.0
861,34,30,60.0
862,34,34,60.0
863,30,40,60.0
864,30,30,60.0
865,30,36,60.0
866,30,30,60.0
867,34,30,60.0
868,34,30,60.0
869,30,30,60.0
870,30,30,60.0
871,30,30,60.0
872,30,30,60.0
873,30,44,60.0
874,30,34,60.0
875,36,30,60.0
876,30,34,60.0
877,30,34,60.0
878,38,30,60.0
879,30,30,60.0
880,30,30,60.0
881,36,30,60.0
882,30,36,60.0
883,30,30,60.0
884,30,30,60.0
885,30,30,60.0
886,30,36,60.0
887,36,30,60.0
888,30,30,60.0
889,30,30,60.0
890,30,44,60.0
891,30,30,60.0
892,30,30,60.0
893,30,36,60.0
894,34,30,60.0
895,36,32,60.0
896,36,32,60.0
897,32,32,60.0
898,32,32,60.0
899,34,32,60.0
900,32,32,60.0
901,32,34,60.0
902,36,36,60.0
903,36,34,60.0
904,34,34,60.0
905,36,34,60.0
906,40,38,60.0
907,36,52,60.0
908,36,38,60.0
909,36,44,60.0
910,36,36,60.0
911,42,36,60.0
912,36,36,60.0
913,38,38,60.0
914,38,34,60.0
915,44,34,60.0
916,46,42,60.0
917,48,42,60.0
918,40,48,60.0
919,40,40,60.0
920,46,38,60.0
921,42,38,60.0
922,40,40,60.0
923,42,40,60.0
924,34,40,60.0
925,34,34,60.0
926,30,34,60.0
927,30,30,60.0
928,40,30,60.0
929,36,32,60.0
930,32,32,60.0
931,32,30,60.0
932,30,36,60.0
933,30,36,60.0
934,36,36,60.0
935,32,34,60.0
936,48,32,60.0
937,38,36,60.0
938,30,32,60.0
939,32,32,60.0
940,32,32,60.0
941,32,32,60.0
942,32,32,60.0
943,30,44,60.0
944,30,32,60.0
945,36,30,60.0
946,26,28,60.0
947,32,26,60.0
948,26,26,60.0
949,26,26,60.0
950,26,32,60.0
951,30,22,60.0
952,22,30,60.0
953,22,30,60.0
954,22,26,60.0
955,30,22,60.0
956,20,26,60.0
957,20,24,60.0
958,28,22,60.0
959,20,22,60.0
960,20,20,60.0
961,20,20,60.0
962,24,26,60.0
963,24,30,60.0
964,28,28,60.0
965,40,28,60.0
966,26,34,60.0
967,26,20,60.0
968,26,20,60.0
969,20,20,58.5
970,20,20,58.5
971,26,20,58.5
972,20,20,58.5
973,20,20,58.5
974,24,24,58.5
975,28,24,58.5
976,24,30,58.5
977,26,30,58.5
978,32,26,58.5
979,26,26,58.5
980,26,26,58.5
981,26,26,58.5
982,32,26,58.5
983,32,32,58.5
984,32,30,58.5
985,30,30,58.5
986,30,30,58.5
987,36,30,58.5
988,36,30,58.5
989,30,32,58.5
990,30,30,58.5
991,32,30,58.5
992,44,32,58.5
993,34,32,58.5
994,32,38,58.5
995,32,34,58.5
996,30,32,58.5
997,30,32,58.5
998,30,30,58.5
999,38,40,58.5
1000,54,36,58.5
1001,30,48,58.5
1002,34,48,58.5
1003,34,36,58.5
1004,30,34,58.5
1005,30,30,58.5
1006,24,30,58.5
1007,24,26,58.5
1008,24,26,58.5
1009,26,24,58.5
1010,20,24,58.5
1011,26,20,58.5
1012,20,26,58.5
1013,20,26,58.5
1014,20,32,58.5
1015,20,28,58.5
1016,20,24,58.5
1017,20,20,58.5
1018,20,28,58.5
1019,22,22,58.5
1020,22,22,58.5
1021,24,22,58.5
1022,26,28,58.5
1023,22,26,58.5
1024,22,22,58.5
1025,24,22,58.5
1026,22,24,58.5
1027,28,28,58.5
1028,22,28,58.5
1029,28,22,58.5
1030,24,22,58.5
1031,22,26,58.5
1032,22,22,58.5
1033,22,22,58.5
1034,30,22,58.5
1035,28,24,58.5
1036,22,28,58.5
1037,22,24,58.5
1038,30,28,58.5
1039,28,28,58.5
1040,32,28,58.5
1041,30,42,58.5
1042,30,38,58.5
1043,34,34,58.5
1044,32,30,58.5
1045,34,32,58.5
1046,36,30,58.5
1047,32,40,58.5
1048,30,36,58.5
1049,34,26,58.5
1050,26,28,58.5
1051,28,26,58.5
1052,24,30,58.5
1053,24,26,58.5
1054,24,28,57.0
1055,20,30,57.0
1056,20,34,57.0
1057,24,34,57.0
1058,24,28,57.0
1059,30,24,57.0
1060,22,24,57.0
1061,32,28,57.0
1062,28,32,57.0
1063,24,28,57.0
1064,24,30,57.0
1065,22,24,57.0
1066,22,22,57.0
1067,22,20,57.0
1068,24,20,57.0
1069,20,20,57.0
1070,20,30,57.0
1071,20,20,57.0
1072,20,20,57.0
1073,20,20,57.0
1074,20,20,57.0
1075,20,24,57.0
1076,20,24,57.0
1077,20,20,57.0
1078,20,20,57.0
1079,20,26,57.0
1080,20,20,57.0
1081,24,28,57.0
1082,24,24,57.0
1083,30,30,57.0
1084,24,34,57.0
1085,28,28,57.0
1086,24,28,57.0
1087,24,18,57.0
1088,30,18,57.0
1089,24,18,57.0
1090,18,18,57.0
1091,18,18,57.0
1092,18,18,57.0
1093,18,18,57.0
1094,18,18,57.0
1095,18,18,57.0
1096,18,18,57.0
1097,18,18,57.0
1098,24,22,57.0
1099,18,22,57.0
1100,18,18,57.0
1101,22,18,57.0
1102,28,18,57.0
1103,24,24,57.0
1104,28,24,57.0
1105,24,32,57.0
1106,30,24,57.0
1107,24,26,57.0
1108,24,24,57.0
1109,24,24,57.0
1110,24,24,57.0
1111,32,24,57.0
1112,26,24,57.0
1113,24,24,57.0
1114,24,24,57.0
1115,24,30,57.0
1116,18,28,57.0
1117,18,18,57.0
1118,18,24,57.0
1119,18,18,57.0
1120,18,18,57.0
1121,18,18,57.0
1122,18,18,55.5
1123,26,18,55.5
1124,18,18,55.5
1125,24,18,55.5
1126,18,18,55.5
1127,18,18,55.5
1128,22,22,55.5
1129,18,24,55.5
1130,18,18,55.5
1131,18,18,55.5
1132,18,28,55.5
1133,24,24,55.5
1134,24,22,55.5
1135,22,24,55.5
1136,40,22,55.5
1137,28,22,55.5
1138,22,22,55.5
1139,22,22,55.5
1140,34,22,55.5
1141,22,24,55.5
1142,22,22,55.5
1143,22,22,55.5
1144,26,22,55.5
1145,28,22,55.5
1146,28,22,55.5
1147,22,22,55.5
1148,22,22,55.5
1149,22,22,55.5
1150,22,22,55.5
1151,28,22,55.5
1152,22,22,55.5
1153,28,22,55.5
1154,22,22,55.5
1155,22,22,55.5
1156,22,22,55.5
1157,22,22,55.5
1158,22,22,55.5
1159,22,28,55.5
1160,22,22,55.5
1161,22,28,55.5
1162,28,22,55.5
1163,22,22,55.5
1164,22,22,55.5
1165,22,28,55.5
1166,22,22,55.5
1167,22,26,55.5
1168,26,24,55.5
1169,22,24,55.5
1170,22,22,55.5
1171,28,28,55.5
1172,28,32,55.5
1173,26,28,55.5
1174,26,26,55.5
1175,38,26,55.5
1176,26,36,55.5
1177,26,30,55.5
1178,26,28,55.5
1179,26,26,55.5
1180,26,26,55.5
1181,34,26,55.5
1182,26,28,55.5
1183,40,26,55.5
1184,22,30,55.5
1185,22,22,55.5
1186,22,22,55.5
1187,22,22,55.5
1188,22,26,55.5
1189,22,22,55.5
1190,22,22,55.5
1191,22,22,55.5
1192,24,28,55.5
1193,24,26,55.5
1194,24,24,55.5
1195,26,26,55.5
1196,24,26,55.5
1197,28,30,55.5
1198,28,28,55.5
1199,24,26,55.5
1200,28,24,55.5
1201,26,26,55.5
1202,28,28,55.5
1203,26,28,55.5
1204,28,26,55.5
1205,26,26,55.5
1206,30,26,55.5
1207,32,26,55.5
1208,26,26,55.5
1209,28,26,55.5
1210,26,26,55.5
1211,26,26,55.5
1212,32,26,55.5
1213,26,32,54.0
1214,26,26,54.0
1215,26,26,54.0
1216,34,26,54.0
1217,26,26,54.0
1218,26,26,54.0
1219,26,26,54.0
1220,30,26,54.0
1221,26,26,54.0
1222,26,26,54.0
1223,28,26,54.0
1224,26,26,54.0
1225,32,26,54.0
1226,26,26,54.0
1227,34,26,54.0
1228,26,30,54.0
1229,26,26,54.0
1230,30,26,54.0
1231,26,28,54.0
1232,26,26,54.0
1233,26,26,54.0
1234,26,26,54.0
1235,26,26,54.0
1236,26,26,54.0
1237,30,26,54.0
1238,26,26,54.0
1239,26,30,54.0
1240,32,36,54.0
1241,26,34,54.0
1242,28,26,54.0
1243,26,36,54.0
1244,26,26,54.0
1245,26,32,54.0
1246,32,26,54.0
1247,26,26,54.0
1248,26,38,54.0
1249,26,32,54.0
1250,30,26,54.0
1251,26,26,54.0
1252,26,26,54.0
1253,26,30,54.0
1254,26,26,54.0
1255,26,26,54.0
1256,32,26,54.0
1257,26,26,54.0
1258,30,26,54.0
1259,26,26,54.0
1260,26,26,54.0
1261,26,26,54.0
1262,36,28,54.0
1263,28,32,54.0
1264,28,28,54.0
1265,32,38,54.0
1266,34,32,54.0
1267,36,32,54.0
1268,28,32,54.0
1269,30,30,54.0
1270,34,30,54.0
1271,28,28,54.0
1272,28,28,54.0
1273,34,32,54.0
1274,30,32,54.0
1275,30,30,54.0
1276,32,34,54.0
1277,34,36,54.0
1278,28,40,54.0
1279,28,28,54.0
1280,28,28,54.0
1281,28,28,54.0
1282,28,34,54.0
1283,28,28,54.0
1284,28,28,54.0
1285,28,28,54.0
1286,28,30,54.0
1287,28,28,54.0
1288,32,28,54.0
1289,28,32,54.0
1290,28,28,54.0
1291,28,28,54.0
1292,28,28,54.0
1293,32,28,54.0
1294,38,28,54.0
1295,28,30,54.0
1296,28,28,54.0
1297,28,28,54.0
1298,28,32,54.0
1299,28,28,54.0
1300,34,28,54.0
1301,28,28,54.0
1302,32,28,54.0
1303,28,28,54.0
1304,28,28,54.0
1305,28,28,54.0
1306,28,28,54.0
1307,28,28,54.0
1308,28,28,54.0
1309,34,28,54.0
1310,28,28,54.0
1311,28,28,54.0
1312,42,28,54.0
1313,28,36,54.0
1314,28,34,54.0
1315,28,28,54.0
1316,28,28,54.0
1317,32,28,54.0
1318,28,28,54.0
1319,28,28,54.0
1320,28,32,54.0
1321,28,28,54.0
1322,28,34,54.0
1323,28,28,54.0
1324,28,28,54.0
1325,28,28,54.0
1326,28,28,54.0
1327,28,28,54.0
