cycle,p1Fitness,p2Fitness,averageTotalFitness
1,132,156,198.0
2,132,124,198.0
3,100,114,181.5
4,96,92,172.5
5,78,102,160.5
6,76,82,153.0
7,74,66,147.0
8,80,66,144.0
9,66,70,138.0
10,66,80,135.0
11,68,54,132.0
12,54,82,127.5
13,56,68,123.0
14,62,58,121.5
15,56,58,118.5
16,66,62,117.0
17,60,66,115.5
18,56,68,114.0
19,56,62,112.5
20,66,84,112.5
21,68,80,111.0
22,68,64,111.0
23,64,70,109.5
24,60,66,109.5
25,66,58,109.5
26,62,60,108.0
27,54,72,106.5
28,54,58,106.5
29,68,60,106.5
30,50,56,105.0
31,56,48,105.0
32,56,52,103.5
33,52,52,103.5
34,52,64,102.0
35,52,74,102.0
36,50,58,100.5
37,60,60,100.5
38,58,64,100.5
39,72,60,100.5
40,60,66,100.5
41,64,52,99.0
42,66,52,99.0
43,46,72,99.0
44,46,48,99.0
45,46,44,97.5
46,44,44,97.5
47,44,66,96.0
48,44,50,96.0
49,44,48,94.5
50,46,46,94.5
51,44,42,94.5
52,42,42,93.0
53,40,44,93.0
54,40,36,91.5
55,36,38,91.5
56,32,36,90.0
57,32,34,90.0
58,32,36,88.5
59,32,32,88.5
60,36,32,87.0
61,36,40,87.0
62,34,46,87.0
63,34,38,85.5
64,34,40,85.5
65,38,36,85.5
66,38,38,84.0
67,44,44,84.0
68,40,48,84.0
69,28,40,84.0
70,28,30,82.5
71,34,30,82.5
72,36,38,82.5
73,34,36,81.0
74,34,34,81.0
75,38,38,81.0
76,42,36,81.0
77,36,46,79.5
78,46,40,79.5
79,40,36,79.5
80,36,40,79.5
81,36,36,79.5
82,36,36,78.0
83,36,40,78.0
84,36,42,78.0
85,36,42,78.0
86,46,38,78.0
87,38,42,78.0
88,38,38,76.5
89,38,38,76.5
90,36,44,76.5
91,36,46,76.5
92,36,42,76.5
93,36,40,76.5
94,46,34,76.5
95,34,40,75.0
96,38,34,75.0
97,42,36,75.0
98,42,42,75.0
99,40,42,75.0
100,38,48,75.0
101,38,42,75.0
102,36,38,75.0
103,40,36,73.5
104,38,40,73.5
105,34,38,73.5
106,28,40,73.5
107,28,36,73.5
108,28,36,73.5
109,28,36,72.0
110,30,28,72.0
111,32,32,72.0
112,20,32,72.0
113,22,22,72.0
114,24,32,70.5
115,22,26,70.5
116,26,22,70.5
117,24,22,70.5
118,28,22,70.5
119,22,22,69.0
120,22,28,69.0
121,22,28,69.0
122,22,22,69.0
123,24,26,69.0
124,24,30,67.5
125,26,24,67.5
126,24,22,67.5
127,24,26,67.5
128,24,30,67.5
129,24,38,67.5
130,26,30,66.0
131,22,24,66.0
132,22,22,66.0
133,20,22,66.0
134,26,20,66.0
135,20,20,66.0
136,20,20,64.5
137,20,20,64.5
138,20,20,64.5
139,28,20,64.5
140,22,22,64.5
141,20,22,64.5
142,20,20,63.0
143,20,20,63.0
144,20,22,63.0
145,20,20,63.0
146,20,22,63.0
147,22,26,63.0
148,22,22,63.0
149,22,22,61.5
150,22,28,61.5
151,22,22,61.5
152,22,22,61.5
153,22,24,61.5
154,22,26,61.5
155,24,24,61.5
156,22,24,61.5
157,22,22,60.0
158,20,24,60.0
159,26,20,60.0
160,20,20,60.0
161,20,28,60.0
162,20,22,60.0
163,20,22,60.0
164,20,20,60.0
165,20,20,58.5
166,20,20,58.5
167,20,26,58.5
168,20,20,58.5
169,20,20,58.5
170,20,20,58.5
171,20,20,58.5
172,20,26,58.5
173,20,20,58.5
174,20,22,57.0
175,20,20,57.0
176,20,22,57.0
177,22,26,57.0
178,24,22,57.0
179,22,28,57.0
180,20,22,57.0
181,20,26,57.0
182,22,20,57.0
183,26,20,57.0
184,26,20,57.0
185,20,22,55.5
186,20,20,55.5
187,20,22,55.5
188,20,20,55.5
189,20,20,55.5
190,22,32,55.5
191,22,30,55.5
192,22,22,55.5
193,20,22,55.5
194,22,20,55.5
195,22,20,55.5
196,22,20,54.0
197,22,24,54.0
198,26,22,54.0
199,22,22,54.0
200,28,22,54.0
201,22,24,54.0
202,20,22,54.0
203,20,20,54.0
204,20,20,54.0
205,20,26,54.0
206,20,20,54.0
207,20,20,54.0
208,26,20,54.0
209,20,26,54.0
210,20,22,52.5
211,30,20,52.5
212,20,22,52.5
213,20,20,52.5
214,24,20,52.5
215,20,24,52.5
216,20,28,52.5
217,20,24,52.5
218,20,26,52.5
219,20,30,52.5
220,20,32,52.5
221,20,26,52.5
222,22,20,52.5
223,34,22,52.5
224,22,26,52.5
225,20,20,52.5
226,30,20,52.5
227,26,24,51.0
228,24,24,51.0
229,24,26,51.0
230,28,24,51.0
231,24,32,51.0
232,24,28,51.0
233,30,32,51.0
234,34,36,51.0
235,38,34,51.0
236,34,34,51.0
237,36,32,51.0
238,30,42,51.0
239,34,34,51.0
240,34,32,51.0
241,32,32,51.0
242,32,42,51.0
243,36,32,51.0
244,32,36,51.0
245,32,34,51.0
246,30,38,51.0
247,32,32,51.0
248,28,30,51.0
249,32,34,51.0
250,32,32,51.0
251,38,36,51.0
252,36,40,51.0
253,40,32,51.0
254,32,34,51.0
255,32,32,51.0
256,28,30,51.0
257,32,42,51.0
258,32,30,51.0
259,30,34,51.0
260,36,28,51.0
261,40,36,51.0
262,30,36,51.0
263,30,32,51.0
264,34,30,51.0
265,34,34,51.0
266,38,34,51.0
267,34,34,51.0
268,30,36,51.0
269,36,42,51.0
270,40,34,51.0
271,34,38,51.0
272,28,34,51.0
273,30,22,51.0
274,22,38,51.0
275,26,28,51.0
276,28,26,51.0
277,28,26,51.0
278,26,26,51.0
279,28,26,51.0
280,32,26,51.0
281,32,26,51.0
282,32,24,51.0
283,26,24,51.0
284,24,24,51.0
285,24,28,51.0
286,24,30,51.0
287,24,28,51.0
288,26,28,51.0
289,32,26,51.0
290,28,32,51.0
291,36,32,51.0
292,28,34,51.0
293,28,28,51.0
294,32,28,51.0
295,32,38,51.0
296,32,38,51.0
297,42,32,51.0
298,32,32,51.0
299,32,34,51.0
300,32,32,51.0
301,32,32,51.0
302,46,32,51.0
303,48,34,51.0
304,34,46,51.0
305,34,34,51.0
306,34,36,51.0
307,34,34,51.0
308,32,38,51.0
309,32,30,51.0
310,34,36,51.0
311,32,46,51.0
312,38,34,51.0
313,32,32,51.0
314,32,40,51.0
315,38,32,51.0
316,36,32,51.0
317,32,34,51.0
318,32,42,51.0
